,1_DRRS,2_DRRS,3_DRRS,4_DRRS,5_DRRS,6_DRRS,7_DRRS,8_DRRS,9_DRRS,10_DRRS,11_DRRS,12_DRRS,13_DRRS,14_DRRS,15_DRRS,16_DRRS,17_DRRS,18_DRRS,19_DRRS,20_DRRS,21_DRRS,22_DRRS,23_DRRS,24_DRRS,25_DRRS,26_DRRS,27_DRRS,28_DRRS,29_DRRS,30_DRRS,31_DRRS,32_DRRS,33_DRRS,34_DRRS,35_DRRS,36_DRRS,37_DRRS,38_DRRS,39_DRRS,40_DRRS,41_DRRS,42_DRRS,43_DRRS,44_DRRS,45_DRRS,46_DRRS,47_DRRS,48_DRRS,49_DRRS,50_DRRS,51_DRRS,52_DRRS,53_DRRS,54_DRRS,55_DRRS,56_DRRS,57_DRRS,58_DRRS,59_DRRS,60_DRRS,61_DRRS,62_DRRS,63_DRRS,64_DRRS,65_DRRS,66_DRRS,67_DRRS,68_DRRS,69_DRRS,70_DRRS,71_DRRS,72_DRRS,73_DRRS,74_DRRS,75_DRRS,76_DRRS,77_DRRS,78_DRRS,79_DRRS,80_DRRS,81_DRRS,82_DRRS,83_DRRS,84_DRRS,85_DRRS,86_DRRS,87_DRRS,88_DRRS,89_DRRS,90_DRRS,91_DRRS,92_DRRS,93_DRRS,94_DRRS,95_DRRS,96_DRRS,97_DRRS,98_DRRS,99_DRRS,100_DRRS
ACC,0.9110671936758892,0.8893280632411067,0.91699604743083,0.8992094861660079,0.8814229249011858,0.9150197628458498,0.8952569169960475,0.9071146245059288,0.9189723320158104,0.8932806324110671,0.8992094861660079,0.91699604743083,0.883399209486166,0.9288537549407114,0.8478260869565217,0.8814229249011858,0.9090909090909092,0.883399209486166,0.9110671936758892,0.8952569169960475,0.9130434782608696,0.9011857707509882,0.9090909090909092,0.9071146245059288,0.9110671936758892,0.8972332015810277,0.9011857707509882,0.9110671936758892,0.8853754940711462,0.9031620553359684,0.91699604743083,0.9090909090909092,0.9031620553359684,0.857707509881423,0.8972332015810277,0.9051383399209486,0.9011857707509882,0.8952569169960475,0.91699604743083,0.9031620553359684,0.9189723320158104,0.8913043478260869,0.9011857707509882,0.9011857707509882,0.8932806324110671,0.9090909090909092,0.91699604743083,0.8715415019762845,0.9150197628458498,0.9071146245059288,0.8853754940711462,0.883399209486166,0.9150197628458498,0.91699604743083,0.9130434782608696,0.9071146245059288,0.9031620553359684,0.883399209486166,0.9110671936758892,0.9051383399209486,0.9011857707509882,0.924901185770751,0.9011857707509882,0.9031620553359684,0.9071146245059288,0.8913043478260869,0.9011857707509882,0.8932806324110671,0.9130434782608696,0.9130434782608696,0.9051383399209486,0.8517786561264822,0.9189723320158104,0.9110671936758892,0.8992094861660079,0.9011857707509882,0.9130434782608696,0.9288537549407114,0.8853754940711462,0.9110671936758892,0.9071146245059288,0.9229249011857708,0.91699604743083,0.8893280632411067,0.8972332015810277,0.9288537549407114,0.9071146245059288,0.8913043478260869,0.8754940711462451,0.8932806324110671,0.8893280632411067,0.9090909090909092,0.8715415019762845,0.8774703557312253,0.8893280632411067,0.9169960474308301,0.9051383399209486,0.9051383399209486,0.9031620553359684,0.883399209486166
AUC,0.691506725285521,0.678081720983169,0.6988948398578652,0.6928283618228042,0.673844584181395,0.70136436432699,0.6722143714599723,0.6803451492846071,0.696449260006454,0.6777080042476825,0.6952948172552023,0.6928059071907307,0.6772677742807119,0.6896458307245036,0.6782572778487839,0.6953238994209626,0.6959532045199834,0.6779848865069136,0.6959057381437926,0.6860465829119761,0.6884238191679385,0.6825252050264069,0.6861500429461648,0.6798320715849231,0.690790515190814,0.6801907392709132,0.6815572262601813,0.6899959252879867,0.6795419858798923,0.6862961568155921,0.7048643706427054,0.6871708045518609,0.6885724118963766,0.6824208393491299,0.6879588928624387,0.6906995442360565,0.6870624591077482,0.682888979655809,0.6883637554648564,0.6847704260741486,0.7010986248366007,0.6789465399448451,0.6832472837520177,0.6880895260396959,0.6850615873371368,0.6993702486448753,0.6923418662501796,0.6607724108246701,0.687580111841279,0.6980535703392805,0.6845594155212089,0.6785866181028803,0.6917166314398103,0.6945933908393808,0.6853430088618293,0.6899119460586505,0.6929789431409618,0.6731652982464214,0.6982542860584867,0.6963868361084689,0.6950430441585609,0.6947625433722617,0.6787625543678393,0.6884384453363039,0.6869891733230906,0.6873175869637889,0.6917236395468549,0.6841336239759633,0.6875944562151618,0.6967654783556224,0.6894845140384928,0.6760525155968734,0.6944512855864636,0.6933177631367754,0.6817698703408009,0.6736744800398866,0.698247620131314,0.7067931391547696,0.6943907886949195,0.6926736610225241,0.6811343765007247,0.6964336235667345,0.6992282861499493,0.6758338628809234,0.6888005253620569,0.6981479141496592,0.6988669648716791,0.693323640193726,0.6790811699811015,0.6776061878134557,0.6850238124186645,0.6917451573061937,0.6754082709545554,0.6632751278580165,0.6674903286061336,0.7001629216504603,0.697445638644483,0.6769680439302573,0.6769810813059653,0.6686271255752242
Fscore,0.0016163475402486,0.0023695734685004,0.0016507540828818,0.001905184948855,0.0016626734585007,0.0017990014321838,0.0017060608351617,0.0018424114156552,0.0015634052487764,0.0016360110829677,0.0014676690354019,0.0015526716594981,0.0016746305045702,0.0020107608721995,0.0017882791564707,0.0016859018596092,0.0016176820538135,0.0017747570523559,0.0017792758431412,0.0018840225677034,0.0016819793981345,0.0017022501774193,0.0018525241582473,0.0016445844773641,0.0019101349474069,0.0018647017456169,0.0019000746166449,0.0016288629492546,0.0018198206558216,0.0017535004864681,0.0016853177316218,0.0018415945527511,0.001882863129247,0.001862785881926,0.0016893059809875,0.001609775442082,0.0016148441263944,0.0016592867208093,0.0017257029914965,0.0016573425524498,0.0018328566285866,0.0016347070217134,0.0015907797554711,0.0017552910086855,0.0017269847117249,0.0018699389977865,0.0019947205130249,0.0015282502146238,0.0018179921473193,0.0018626294530746,0.0016932041746875,0.0017425659582814,0.0017198236428091,0.0017239427897214,0.0020062778835586,0.001907884621342,0.00200784180331,0.0018142237307364,0.0018111575426166,0.0016478093546044,0.0018303762333305,0.002026511261769,0.0017328078610712,0.0017653648759984,0.0017333908013852,0.0018910394833308,0.0017514285297716,0.0015661816743034,0.0021174366797554,0.0018762864509652,0.0018665016375334,0.0019987683662561,0.001714101705988,0.0017684460500397,0.0015801554720912,0.0016755628189723,0.0017557112523235,0.001821754642838,0.0019517483556933,0.0017003434382899,0.0019599035821686,0.001827292774096,0.0019574177795825,0.0017841183094572,0.0016354105179723,0.0018900539616285,0.0016037584169594,0.0015453341507365,0.0020464924129982,0.0019456477956738,0.0015966499954609,0.0017818743825233,0.0021659958569169,0.0015979561826736316,0.0017196626915802406,0.0017748426162947904,0.0017844776459097426,0.0017272061879816554,0.0016632056467361846,0.0017040381577082123
HR@10,0.0158102766798418,0.0118577075098814,0.0158102766798418,0.0098814229249011,0.0118577075098814,0.0158102766798418,0.0158102766798418,0.0138339920948616,0.0118577075098814,0.0118577075098814,0.0098814229249011,0.0118577075098814,0.0118577075098814,0.0118577075098814,0.0079051383399209,0.0118577075098814,0.0158102766798418,0.0098814229249011,0.0158102766798418,0.0158102766798418,0.0118577075098814,0.0118577075098814,0.0158102766798418,0.0138339920948616,0.0098814229249011,0.0158102766798418,0.0138339920948616,0.0098814229249011,0.0098814229249011,0.0079051383399209,0.0138339920948616,0.0079051383399209,0.0118577075098814,0.0098814229249011,0.0138339920948616,0.0079051383399209,0.0039525691699604,0.0118577075098814,0.0098814229249011,0.0118577075098814,0.0158102766798418,0.0118577075098814,0.0138339920948616,0.0079051383399209,0.0118577075098814,0.0118577075098814,0.0158102766798418,0.0118577075098814,0.0138339920948616,0.0098814229249011,0.0098814229249011,0.0079051383399209,0.0079051383399209,0.0138339920948616,0.0059288537549407,0.0158102766798418,0.0138339920948616,0.0098814229249011,0.0158102766798418,0.0118577075098814,0.0118577075098814,0.0138339920948616,0.0138339920948616,0.0079051383399209,0.0177865612648221,0.0079051383399209,0.0079051383399209,0.0138339920948616,0.0079051383399209,0.0177865612648221,0.0138339920948616,0.0118577075098814,0.0138339920948616,0.0177865612648221,0.0118577075098814,0.0177865612648221,0.0138339920948616,0.0098814229249011,0.0079051383399209,0.0118577075098814,0.0158102766798418,0.0118577075098814,0.0118577075098814,0.0079051383399209,0.0158102766798418,0.0098814229249011,0.0118577075098814,0.0118577075098814,0.0079051383399209,0.0158102766798418,0.0059288537549407,0.0158102766798418,0.0039525691699604,0.009881422924901186,0.011857707509881422,0.011857707509881422,0.015810276679841896,0.009881422924901186,0.015810276679841896,0.015810276679841896
HR@2,0.0039525691699604,0.0019762845849802,0.0019762845849802,0.0039525691699604,0.0019762845849802,0.0039525691699604,0.0,0.0019762845849802,0.0019762845849802,0.0039525691699604,0.0019762845849802,0.0019762845849802,0.0039525691699604,0.0,0.0019762845849802,0.0039525691699604,0.0019762845849802,0.0,0.0039525691699604,0.0019762845849802,0.0,0.0039525691699604,0.0039525691699604,0.0019762845849802,0.0019762845849802,0.0019762845849802,0.0039525691699604,0.0,0.0039525691699604,0.0,0.0039525691699604,0.0,0.0019762845849802,0.0019762845849802,0.0019762845849802,0.0039525691699604,0.0,0.0019762845849802,0.0019762845849802,0.0019762845849802,0.0039525691699604,0.0019762845849802,0.0019762845849802,0.0,0.0019762845849802,0.0039525691699604,0.0039525691699604,0.0019762845849802,0.0039525691699604,0.0019762845849802,0.0019762845849802,0.0,0.0,0.0039525691699604,0.0,0.0039525691699604,0.0,0.0039525691699604,0.0019762845849802,0.0,0.0019762845849802,0.0039525691699604,0.0019762845849802,0.0019762845849802,0.0039525691699604,0.0019762845849802,0.0019762845849802,0.0019762845849802,0.0,0.0019762845849802,0.0039525691699604,0.0019762845849802,0.0039525691699604,0.0039525691699604,0.0019762845849802,0.0019762845849802,0.0,0.0,0.0,0.0019762845849802,0.0039525691699604,0.0,0.0019762845849802,0.0019762845849802,0.0039525691699604,0.0019762845849802,0.0019762845849802,0.0,0.0019762845849802,0.0019762845849802,0.0,0.0039525691699604,0.0,0.001976284584980237,0.0,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.001976284584980237,0.003952569169960474
HR@5,0.0079051383399209,0.0059288537549407,0.0079051383399209,0.0059288537549407,0.0039525691699604,0.0098814229249011,0.0059288537549407,0.0039525691699604,0.0059288537549407,0.0039525691699604,0.0059288537549407,0.0039525691699604,0.0079051383399209,0.0039525691699604,0.0039525691699604,0.0059288537549407,0.0079051383399209,0.0059288537549407,0.0079051383399209,0.0079051383399209,0.0039525691699604,0.0059288537549407,0.0059288537549407,0.0059288537549407,0.0059288537549407,0.0059288537549407,0.0059288537549407,0.0059288537549407,0.0059288537549407,0.0039525691699604,0.0079051383399209,0.0019762845849802,0.0059288537549407,0.0059288537549407,0.0079051383399209,0.0079051383399209,0.0039525691699604,0.0079051383399209,0.0059288537549407,0.0079051383399209,0.0098814229249011,0.0059288537549407,0.0079051383399209,0.0039525691699604,0.0059288537549407,0.0059288537549407,0.0079051383399209,0.0059288537549407,0.0079051383399209,0.0059288537549407,0.0039525691699604,0.0019762845849802,0.0,0.0098814229249011,0.0039525691699604,0.0098814229249011,0.0039525691699604,0.0079051383399209,0.0079051383399209,0.0059288537549407,0.0059288537549407,0.0059288537549407,0.0059288537549407,0.0059288537549407,0.0098814229249011,0.0079051383399209,0.0059288537549407,0.0079051383399209,0.0019762845849802,0.0079051383399209,0.0059288537549407,0.0079051383399209,0.0079051383399209,0.0079051383399209,0.0039525691699604,0.0079051383399209,0.0059288537549407,0.0039525691699604,0.0,0.0059288537549407,0.0079051383399209,0.0059288537549407,0.0059288537549407,0.0059288537549407,0.0079051383399209,0.0059288537549407,0.0059288537549407,0.0059288537549407,0.0039525691699604,0.0059288537549407,0.0,0.0079051383399209,0.0019762845849802,0.005928853754940711,0.003952569169960474,0.005928853754940711,0.007905138339920948,0.005928853754940711,0.005928853754940711,0.009881422924901186
Lin's AUC,0.8681916279576539,0.8615135328590782,0.8840150790583058,0.8620275349619638,0.8561126781054221,0.8769526770617937,0.8745546261994488,0.8584453592781053,0.8711781347061325,0.8498613777255756,0.8423299663574536,0.8693444153995761,0.8572000265178563,0.8927707829752192,0.8111718629743249,0.8511098744589435,0.8756807371596727,0.8521259409365415,0.8795074573898579,0.8625222408313274,0.8636979679557493,0.8734885041417326,0.8641309942889132,0.8606058715241149,0.872217497074371,0.8593490598713164,0.8608334254261996,0.8706219953419084,0.850789208470118,0.8671909837885913,0.8760218965302111,0.8680544249326548,0.867226708043377,0.8418728062638309,0.8442800859055417,0.8777709042414579,0.8737087118416942,0.8610928984504468,0.8735121413785927,0.8649043196021422,0.875787034776492,0.8568662485872318,0.8691808509325822,0.8789543587822332,0.8575082361153771,0.8642716189626277,0.8730308045112138,0.8440713874099759,0.8653545412392136,0.858013330187382,0.8503121654608495,0.8491441424321995,0.8793454862348933,0.8818901193520063,0.8824493840763132,0.8700392955719942,0.8638197062928317,0.8508855275844923,0.8745214123361275,0.8622840499092409,0.8645999301980682,0.8753625338286423,0.8589447956389529,0.8669355729980323,0.8710184512149274,0.861002675847596,0.8604563651983458,0.870642562626263,0.8602313957811935,0.872887755985391,0.8635537993443723,0.8272903124402395,0.8711829781218555,0.8750020746549466,0.8659024466304729,0.8590294452359676,0.8774612989566094,0.8893693032464954,0.8533010783160406,0.8578394374640592,0.8482631782020514,0.8811137461377321,0.8717852117476376,0.8499674252502158,0.8678198426894879,0.8834630741419736,0.860368969847079,0.8569260772617266,0.8556014489424825,0.8653368710513074,0.8496418685014594,0.8728999758868895,0.8369994955043623,0.8570483404222184,0.8468071052306014,0.8798430043090629,0.8520489378443984,0.8572011470368126,0.8677917586873256,0.8577208256102905
NDCGk,0.2884720706481626,0.271920238426027,0.259332069824167,0.2801569265405548,0.2584659327746352,0.2670079032012571,0.2654881700072057,0.2768593369593889,0.2472121707682806,0.2769302374522837,0.2726436897644735,0.2787428439196258,0.2504256788926079,0.2605404221820566,0.257617280326243,0.263529119040914,0.2690703281699364,0.2703172406842917,0.2569624242399652,0.2623023698688636,0.2582472610952097,0.2512324744121457,0.2899914822719734,0.2568225047283741,0.2749423453571531,0.2481807575639129,0.283903440472473,0.286320139707113,0.2534779581991625,0.2631265809274748,0.2595093245400031,0.2576744522414145,0.2630929528235312,0.2666953780046675,0.2590550450917487,0.2715176860742064,0.257414146203992,0.2706679755074527,0.272403473020759,0.2736699826430948,0.2767427138577105,0.2645413287986266,0.2708765525426567,0.2784800976459387,0.2572327493023977,0.2742158819249117,0.2572074532558673,0.2508864595024181,0.2580097387396001,0.267946969386977,0.2686019705083894,0.2623725615520783,0.260518339428368,0.2736432731986591,0.2620225336310073,0.2657458002241256,0.2795169170778132,0.2809576477490028,0.2746120532215249,0.2665608996892144,0.2662547056027639,0.2855225649159328,0.2672430475297859,0.2646253580121113,0.2533620830709946,0.2707326920233397,0.2639805403144571,0.2754480783726272,0.2843922125438496,0.2691974955011457,0.2705836721642198,0.2597122764244614,0.2621160481534863,0.2464916040704833,0.292522385333755,0.2606152212384939,0.2630132340261363,0.2788486775910085,0.269468056821858,0.2606622957195993,0.2621857238655944,0.2642400992461344,0.2605267169681547,0.258847024458952,0.2692931232862433,0.263674236282897,0.2888151050816825,0.2646010970506327,0.260983707573862,0.2729469168643633,0.2631064862977212,0.2846808283808898,0.2554170820504954,0.24476363252593164,0.25885325703527684,0.2623015759827306,0.2773237987063227,0.2701402205282729,0.2636094949613162,0.2575394946562127
global AUC,0.9038635549132076,0.8842595355744006,0.9113303249271189,0.8942374212170634,0.8768444287169136,0.9089822233325344,0.8915121285639565,0.9005851149096518,0.9121630907603993,0.8871263351134526,0.8899504708375119,0.9096351520219864,0.8779854356848795,0.9220124519342072,0.843943552012389,0.8761015723284259,0.9027971384299364,0.8797406613961751,0.9053428750545456,0.8899801923947482,0.9068874504610898,0.895157526297828,0.9016930013804734,0.8986223019554543,0.9042655206293164,0.8907042980255936,0.894532161514178,0.9038489880278894,0.8817655862350627,0.8965545782201801,0.9086470279837388,0.9029498826274128,0.8972446396892234,0.8543829998212692,0.8900781373569809,0.8988018689364974,0.8960502573169101,0.8898098145992555,0.908511117848468,0.8976821683200896,0.9121436207856126,0.8856438314322659,0.8946332060467455,0.8969884888602316,0.8879707873126237,0.9025834360158796,0.9098505922399054,0.8675218886253773,0.9083550185212655,0.8990402328318375,0.8795411461791978,0.8771521806379062,0.9077749425126452,0.9109554777133008,0.9062363508467114,0.901268232464942,0.8966126887749682,0.8808105133278384,0.9045147019886158,0.8976587590798243,0.8945823716329193,0.9177762739040582,0.8958966004073208,0.89715543850903,0.9006001783103588,0.8874366791368453,0.8945489554170508,0.8882009331481019,0.9064187070759708,0.9062530242715852,0.8993007026145463,0.8488745850755973,0.9121912935646804,0.90433478817697,0.8928570609738277,0.8947667285271298,0.9066664025399508,0.9225089965302776,0.8813809510965491,0.902385392090828,0.8982853432468568,0.9165908835714784,0.9098380515754778,0.8845434766617979,0.8906614042071472,0.920814893323742,0.8991113148511709,0.8848683072518422,0.8723563676996121,0.8879236073980967,0.8835935331966464,0.9018595676901838,0.8678845894663997,0.8731641361735515,0.8828235692584129,0.90981073592737,0.8976018533050251,0.8967142955381971,0.8956284711445626,0.8800852357746405
global NDCG,0.775221862683666,0.7591133261381019,0.7868337436579582,0.7704049824167155,0.7656705292515771,0.7908355728501646,0.7707808279749236,0.7614063450884186,0.7814331141628459,0.7695201355630401,0.7438505658522526,0.7572357446815068,0.7692554718633101,0.7693929286119512,0.7295096719694368,0.7677062247218357,0.7807710394315054,0.755157142446048,0.7814291991308546,0.7692131752835961,0.7657677649770886,0.7693401096482945,0.7757704811181493,0.7562498814030026,0.758840347076401,0.7655388198489951,0.7717799569804032,0.7595339877713012,0.7707994522959337,0.7481898646417183,0.778692358454326,0.7563251709027828,0.7721163502168472,0.7467718039489819,0.7685588663535781,0.7715994983203242,0.7403099934819428,0.77514443814133,0.7623337062009595,0.7643781018054556,0.7934784500930254,0.7800754724050963,0.7634538542442277,0.7418255204419858,0.7620719738993819,0.7742983862523761,0.7840117876920448,0.7548157773425471,0.7864471770593728,0.7450856209307362,0.7537939359869241,0.740306274547863,0.7504402808203471,0.7837696591872547,0.7470797196045865,0.7906559857045141,0.7675785421314469,0.7660661582173868,0.766516748711368,0.7703706939551069,0.7619324308137434,0.7909106244194914,0.7656345643800064,0.7695900701736988,0.7784418694622011,0.765476720271669,0.7673786982276873,0.7792848609644175,0.7539290504585927,0.7925795236263269,0.7643649408706683,0.7443307572453479,0.7872502941514282,0.7855178917338946,0.754682428005675,0.7707191771603562,0.7627371615001152,0.772325171763615,0.7428257272436718,0.7600676018331852,0.766412006162476,0.7691346581237831,0.7741814089394754,0.7460277507804786,0.7753683703814332,0.7661554622420207,0.7579305985744854,0.7502647525044243,0.7520752509728484,0.7825870226930633,0.7242655370832889,0.785011599828324,0.7430223891885912,0.7491295276737756,0.7427236953373664,0.7739680451631826,0.7619786645403308,0.7392385310506981,0.758375339872723,0.7801286753962507
prediction time (sec),0.0452809333801269,0.0199122428894042,0.0196366310119628,0.024303913116455,0.020686388015747,0.0203962326049804,0.020400047302246,0.0207703113555908,0.0201916694641113,0.0194592475891113,0.0210506916046142,0.0190536975860595,0.0199792385101318,0.0207147598266601,0.0207035541534423,0.0203890800476074,0.0200207233428955,0.0201838016510009,0.0198893547058105,0.021040916442871,0.0195879936218261,0.0230977535247802,0.0191137790679931,0.0179734230041503,0.0198962688446044,0.0213665962219238,0.0298480987548828,0.0207781791687011,0.0176634788513183,0.0212366580963134,0.0198035240173339,0.0206553936004638,0.0198876857757568,0.0194451808929443,0.0205996036529541,0.0198869705200195,0.0173218250274658,0.0181000232696533,0.0182406902313232,0.0178301334381103,0.018345832824707,0.0200908184051513,0.0200304985046386,0.0206508636474609,0.0205953121185302,0.022428274154663,0.0214152336120605,0.0193524360656738,0.0231735706329345,0.0182812213897705,0.0184509754180908,0.0203094482421875,0.0200281143188476,0.0198843479156494,0.0203719139099121,0.021561861038208,0.0200526714324951,0.0209956169128417,0.0205523967742919,0.0217621326446533,0.0234694480895996,0.0229589939117431,0.0220170021057128,0.0224242210388183,0.019418716430664,0.0180804729461669,0.0186305046081542,0.0255782604217529,0.0177927017211914,0.017655611038208,0.0183594226837158,0.0179581642150878,0.017526626586914,0.0178968906402587,0.0179879665374755,0.0174601078033447,0.0175435543060302,0.0199701786041259,0.0185983180999755,0.0176584720611572,0.02219820022583,0.0174157619476318,0.0218541622161865,0.0180377960205078,0.0185279846191406,0.0178930759429931,0.0174987316131591,0.017604112625122,0.0220582485198974,0.0245656967163085,0.0177264213562011,0.0175940990447998,0.0172693729400634,0.028812408447265625,0.017380714416503906,0.017690658569335938,0.017438650131225586,0.017610549926757812,0.01803421974182129,0.017643451690673828
training time (sec),1800.0899605751038,948.86670088768,936.729594230652,943.8708891868592,944.6398923397064,982.6718776226044,953.0238842964172,942.6220593452454,933.8188581466676,934.6457061767578,940.765834569931,911.106947183609,913.5303769111632,952.2666356563568,947.8614182472228,940.4236187934875,972.2449598312378,963.0946736335754,954.1878550052644,940.84250497818,927.5701937675476,949.3029272556304,881.0706586837769,888.7581696510315,921.746970653534,1051.376844406128,1034.7827875614166,1021.9003553390504,1025.6949026584623,955.9166452884674,944.8925771713256,941.302206993103,961.1980447769164,964.2601532936096,940.8492214679718,958.2700538635254,890.5380144119263,878.8033483028412,869.3327779769897,856.801376581192,849.7758183479309,946.049402475357,938.5333168506622,948.3262395858764,962.281222820282,959.4247226715088,1049.5429055690763,966.2144944667816,1007.7370839118958,1021.494347333908,941.6651096343994,951.5655357837676,942.3763892650604,881.2031419277191,939.4774596691132,936.2956235408784,941.5983259677888,964.5418920516968,976.9811577796936,995.180341720581,1100.2650833129885,1083.040432691574,1083.5005867481232,1099.496568441391,1034.9313917160034,908.588508605957,942.8372395038604,888.3064324855804,911.025128364563,821.829026222229,834.6317942142487,824.6048603057861,840.8148379325867,896.5881357192993,884.0326683521271,943.6951308250428,893.9460654258728,942.2805891036988,911.6528418064116,1240.3956277370453,976.9059584140778,896.8085837364197,868.5459916591644,868.6263542175293,848.6394777297974,868.1580195426941,869.5287787914276,871.9406213760376,859.4884791374207,1026.13835978508,946.9671425819396,850.7900805473328,841.1600661277771,1555.1042847633362,928.8320045471191,819.8767211437225,846.0821309089661,858.6795725822449,822.9979803562164,820.8674230575562
