,1_VariationalWrapper,2_VariationalWrapper,3_VariationalWrapper,4_VariationalWrapper,5_VariationalWrapper,6_VariationalWrapper,7_VariationalWrapper,8_VariationalWrapper,9_VariationalWrapper,10_VariationalWrapper,11_VariationalWrapper,12_VariationalWrapper,13_VariationalWrapper,14_VariationalWrapper,15_VariationalWrapper,16_VariationalWrapper,17_VariationalWrapper,18_VariationalWrapper,19_VariationalWrapper,20_VariationalWrapper,21_VariationalWrapper,22_VariationalWrapper,23_VariationalWrapper,24_VariationalWrapper,25_VariationalWrapper,26_VariationalWrapper,27_VariationalWrapper,28_VariationalWrapper,29_VariationalWrapper,30_VariationalWrapper,31_VariationalWrapper,32_VariationalWrapper,33_VariationalWrapper,34_VariationalWrapper,35_VariationalWrapper,36_VariationalWrapper,37_VariationalWrapper,38_VariationalWrapper,39_VariationalWrapper,40_VariationalWrapper,41_VariationalWrapper,42_VariationalWrapper,43_VariationalWrapper,44_VariationalWrapper,45_VariationalWrapper,46_VariationalWrapper,47_VariationalWrapper,48_VariationalWrapper,49_VariationalWrapper,50_VariationalWrapper,51_VariationalWrapper,52_VariationalWrapper,53_VariationalWrapper,54_VariationalWrapper,55_VariationalWrapper,56_VariationalWrapper,57_VariationalWrapper,58_VariationalWrapper,59_VariationalWrapper,60_VariationalWrapper,61_VariationalWrapper,62_VariationalWrapper,63_VariationalWrapper,64_VariationalWrapper,65_VariationalWrapper,66_VariationalWrapper,67_VariationalWrapper,68_VariationalWrapper,69_VariationalWrapper,70_VariationalWrapper,71_VariationalWrapper,72_VariationalWrapper,73_VariationalWrapper,74_VariationalWrapper,75_VariationalWrapper,76_VariationalWrapper,77_VariationalWrapper,78_VariationalWrapper,79_VariationalWrapper,80_VariationalWrapper,81_VariationalWrapper,82_VariationalWrapper,83_VariationalWrapper,84_VariationalWrapper,85_VariationalWrapper,86_VariationalWrapper,87_VariationalWrapper,88_VariationalWrapper,89_VariationalWrapper,90_VariationalWrapper,91_VariationalWrapper,92_VariationalWrapper,93_VariationalWrapper,94_VariationalWrapper,95_VariationalWrapper,96_VariationalWrapper,97_VariationalWrapper,98_VariationalWrapper,99_VariationalWrapper,100_VariationalWrapper
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0006846231899689475,0.0005511549323618706,0.0006135395853730933,0.0006886167236804766,0.0006327347900730319,0.0006420947469191076,0.0007349217994746627,0.0006881477684913984,0.000590224319045428,0.0006527365724313957,0.0007002224083356702,0.0007292930645960257,0.0006843920564168245,0.0006655891382551025,0.0006946820752449101,0.0006698235389218048,0.0006524046290352208,0.0005625482341732707,0.0006099686119215136,0.0006315228604968824,0.0006242283872290558,0.000588774456985768,0.0006225714766433499,0.000684331953180747,0.000630594498107557,0.0006781756454963292,0.0006529156230058405,0.0006248600954209731,0.0007280359253977951,0.0006931926672148971,0.0007933325727759776,0.0006503793385400636,0.0006484800381323188,0.0005514521468453004,0.00069346954733562,0.000674566896427154,0.0006801978972693281,0.0006557975476508336,0.0007590884764660893,0.0006286138814443166,0.0006759335517225405,0.0006614706417734736,0.0006165115137721249,0.0006132825205411865,0.0006541166407524824,0.0006567917177239626,0.0006100603788945213,0.000788242808420279,0.0005881517247349904,0.0006098961192041884,0.0007146941122825147,0.0006732348527729807,0.0006428325067042894,0.0006516342751622324,0.0006044671571646468,0.0006345899062420886,0.000684215321764503,0.0006628632337623553,0.0006390048146155309,0.0007050775423548543,0.0006409374142501178,0.0007278939408428893,0.000626839644767529,0.0006713998713431769,0.0006244435885346984,0.000622044335788064,0.0007325806122732834,0.0006999302271701308,0.000623104920190775,0.0005743456785351211,0.0006275236379794868,0.0006846907469526002,0.0005813079698259552,0.0007398865254520811,0.0007003530378975345,0.0006312400598379941,0.0007377144041854748,0.0006157726087732402,0.0005821871767739319,0.0005933617341118088,0.0005683546927286206,0.0006980668135729265,0.000606053686153125,0.0006144782504157115,0.0007095309209265365,0.0006570846502947837,0.0005842763369557296,0.0006590698735905775,0.0006797848788214873,0.0007040814017660435,0.0006369157322854013,0.0006361709825217555,0.0005853992898302693,0.0005822264715046324,0.0006308078535208597,0.0006602097242829581,0.0006884403504498622,0.0006712180702503975,0.0006567922112657034,0.0006977655102217018
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
NDCGk,0.20083699848857864,0.20199768818665303,0.19989463152968703,0.2086139471927637,0.20830175680330548,0.20519718349626814,0.2022363264862129,0.20831327817420728,0.19666666927780715,0.19987934638287194,0.20122414085309107,0.19908401444683044,0.20742807873558763,0.20235963937229745,0.20007923807628963,0.20434885597409705,0.2031408550106618,0.2036934882312953,0.19808272169384594,0.19018979155123947,0.2036216959705528,0.2058214062382022,0.20012520550611027,0.20252251044313374,0.18693954447797975,0.1971608283446518,0.2044705590482901,0.19717942862324836,0.2001555055773041,0.2099209934148484,0.2040989803189235,0.20743989673407343,0.1971460608268644,0.19491352396757766,0.20202149894495397,0.2024443001969337,0.19897823685202026,0.20531436934504155,0.20484972703918894,0.1971210442127676,0.20175878539051523,0.20452026915374535,0.20361066295800087,0.20557409790053746,0.1979311438341674,0.20386566259727107,0.19507384759690702,0.2046569373207642,0.2059706927598137,0.20523230412042573,0.19462603266758793,0.20214263016844494,0.2059177440148821,0.20228503021444452,0.20051228489705009,0.1976709687259904,0.20313920379394096,0.20897883263618722,0.20631314377321355,0.19772596366053954,0.20420779672232428,0.2056923406537057,0.19955611902832093,0.20105144639874045,0.19639323721451998,0.20477468686231182,0.20440125003933732,0.20186409384760692,0.20287711973743322,0.2023768927669132,0.2038062589684362,0.2088334507365891,0.18726867163982497,0.20496424163243293,0.20437218261448836,0.19560358913140605,0.20616734575152698,0.2016714303287183,0.1934172294929104,0.20445632575485045,0.19918113999036252,0.19871564005869177,0.1991600267239808,0.19979165202986762,0.20182501809040432,0.2023496697107561,0.19802688892369918,0.20364420203580327,0.20641336405167496,0.1973090813890886,0.20787058493041938,0.20941465764337003,0.19421254390205195,0.19791481659508778,0.19622973441732824,0.19475154572059822,0.2012087713970491,0.20576894085179115,0.20479814300381832,0.20371420854328026
global AUC,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253,0.9004697558541253
global NDCG,0.4799573081883108,0.4837821041249605,0.48962026110178414,0.487045676498692,0.4843156529916343,0.4928592583089726,0.48871500737999285,0.48753471205093557,0.48703359245376615,0.4835468786487328,0.4858256787415821,0.4887798983234275,0.491473484058976,0.48467584644530676,0.4865240606526632,0.48400505868801813,0.49844246753907717,0.5093442269198826,0.486810872459041,0.4850467802050112,0.4864091813541926,0.484727931356045,0.4975714145693433,0.48107341817919697,0.48225769182051176,0.4902442408290003,0.48562135055595684,0.4890449051678211,0.4845992065034293,0.4858298933829191,0.48245776709996946,0.49252329279583557,0.4839075148741387,0.4874518490146644,0.48621801097403344,0.49761811667895045,0.493681972374162,0.4906937733504632,0.48364913656157044,0.4873269575683313,0.4893020242754684,0.4833082848084899,0.4878950079964848,0.4915157520364479,0.4838064774030753,0.4871356792610796,0.4861213648819987,0.48435082630877785,0.48448492526443565,0.48412509880600035,0.4864285152990808,0.4911379393201129,0.4939203757643693,0.48562739024003554,0.4818217310581124,0.4887611517998838,0.4867927204811882,0.4944985584451151,0.48755718281090255,0.48834322275410486,0.49444755129061735,0.48502806839112245,0.48548817730698196,0.49677278498997085,0.4843519914598893,0.48379219775100996,0.4830545314359811,0.4924040167479612,0.48667884533289535,0.48741616162967466,0.4946457074359145,0.4848489320102203,0.48755750806118214,0.49069809360907524,0.4791341937752257,0.4900336779404716,0.49575747303321144,0.48489267378850215,0.48654510290442926,0.48224830794394746,0.49197711994220084,0.48828001010416117,0.4886986276391241,0.4909811016230616,0.48755719316710633,0.4919517874710096,0.48732480919157967,0.48715011904427785,0.4969662887841576,0.5023580879055569,0.48586824544646845,0.48506845440793916,0.4869052969879317,0.503025937147394,0.48527389573976565,0.4836587444676236,0.48396133076037406,0.4868195142592173,0.4939287369914572,0.48586998693111766
prediction time (sec),19.6035737991333,19.84970998764038,19.3542218208313,20.793582916259766,19.35738968849182,19.872671604156494,19.4180691242218,19.702261209487915,19.801074504852295,19.373316526412964,19.248921632766724,19.42704749107361,19.79029130935669,21.68530821800232,19.82315945625305,19.51295495033264,19.540398597717285,19.38054656982422,19.551151514053345,19.69444227218628,19.549639225006104,19.538880825042725,19.691267728805542,19.532146692276,19.57394051551819,19.505754709243774,19.38931679725647,19.59079599380493,19.385961532592773,19.378238201141357,19.38571000099182,20.073812246322632,19.618677377700806,19.647125720977783,19.343766450881958,19.57333755493164,19.253101348876953,19.355844259262085,19.566561460494995,19.557390689849854,19.23742699623108,19.087879180908203,19.679256200790405,19.53122568130493,19.402302980422974,19.471091508865356,19.325966119766235,19.554392099380493,19.533650159835815,19.358519792556763,19.522738218307495,19.317352294921875,19.318053245544434,19.54592227935791,19.339940309524536,19.609476566314697,19.4908607006073,19.448469161987305,19.467780590057373,19.389305114746094,19.439173460006714,19.640285968780518,19.56003737449646,19.37041997909546,19.459031105041504,20.08528208732605,19.297879934310913,19.689345836639404,19.338430881500244,19.487748861312866,19.309473752975464,19.268088579177856,19.031811714172363,19.548983812332153,19.176794290542603,19.485369205474854,19.563210248947144,19.335447072982788,19.28621554374695,19.318830728530884,19.413357734680176,19.320720672607422,19.400001525878906,19.236151933670044,19.483617544174194,19.28704285621643,19.36015272140503,19.359297513961792,19.316042184829712,19.338613748550415,19.31799554824829,19.136895895004272,18.920839548110962,19.26318621635437,17.234067916870117,19.24051523208618,19.216100931167603,17.08825182914734,19.404608964920044,16.94860529899597
training time (sec),3232.7993788719177,3197.970238685608,3187.7998118400574,3207.199551820755,3184.13108253479,3189.328383922577,3351.4944100379944,3183.4917063713074,3203.134583711624,3188.1167476177216,3232.499640226364,3273.0089099407196,3185.206075668335,3225.3803906440735,3218.6221141815186,3190.076176404953,3194.4906425476074,3200.8773901462555,3198.012270927429,3196.3648240566254,3184.454523563385,3207.5549874305725,3203.7248990535736,3225.441568136215,3216.626088142395,3232.2004606723785,3241.785802602768,3248.417550802231,3299.9463696479797,3240.307763338089,3182.822633266449,3186.5163159370422,3189.2096498012543,3201.762882232666,3189.256297826767,3192.7016775608063,3530.707293510437,3195.812260389328,3216.9577322006226,3211.8819704055786,3215.723184108734,3233.136829853058,3247.4140162467957,3186.333703517914,3188.3650987148285,3186.7561416625977,3193.0306684970856,3196.527518749237,3186.0304882526398,3227.2307703495026,3189.2227697372437,3200.452270746231,3213.439464569092,3219.119885444641,3229.6378099918365,3244.1148347854614,3244.6703910827637,3184.681776046753,3186.5685369968414,3487.5080070495605,3192.7369887828827,3190.0522413253784,3197.361007452011,3192.1338260173798,3197.0048978328705,3197.734466314316,3266.508325576782,3218.5085146427155,3225.29465508461,3232.184616088867,3282.410711288452,3247.055680513382,3189.846053123474,3247.075375556946,3212.8266019821167,3188.9607079029083,3197.285300254822,3199.1288051605225,3208.133652448654,3493.5369396209717,3213.610859155655,3190.149706363678,3214.6392438411713,3217.966404914856,3226.052377462387,3188.7154870033264,3247.4591495990753,3248.0517535209656,3190.6527194976807,3195.2085325717926,3149.814203977585,3145.1602075099945,3139.730946302414,3280.198785305023,3148.195143699646,3097.667156934738,3149.2778611183167,3150.625459432602,3102.9608380794525,3167.4111433029175
