,1_BNNR,2_BNNR,3_BNNR,4_BNNR,5_BNNR,6_BNNR,7_BNNR,8_BNNR,9_BNNR,10_BNNR,11_BNNR,12_BNNR,13_BNNR,14_BNNR,15_BNNR,16_BNNR,17_BNNR,18_BNNR,19_BNNR,20_BNNR,21_BNNR,22_BNNR,23_BNNR,24_BNNR,25_BNNR,26_BNNR,27_BNNR,28_BNNR,29_BNNR,30_BNNR,31_BNNR,32_BNNR,33_BNNR,34_BNNR,35_BNNR,36_BNNR,37_BNNR,38_BNNR,39_BNNR,40_BNNR,41_BNNR,42_BNNR,43_BNNR,44_BNNR,45_BNNR,46_BNNR,47_BNNR,48_BNNR,49_BNNR,50_BNNR,51_BNNR,52_BNNR,53_BNNR,54_BNNR,55_BNNR,56_BNNR,57_BNNR,58_BNNR,59_BNNR,60_BNNR,61_BNNR,62_BNNR,63_BNNR,64_BNNR,65_BNNR,66_BNNR,67_BNNR,68_BNNR,69_BNNR,70_BNNR,71_BNNR,72_BNNR,73_BNNR,74_BNNR,75_BNNR,76_BNNR,77_BNNR,78_BNNR,79_BNNR,80_BNNR,81_BNNR,82_BNNR,83_BNNR,84_BNNR,85_BNNR,86_BNNR,87_BNNR,88_BNNR,89_BNNR,90_BNNR,91_BNNR,92_BNNR,93_BNNR,94_BNNR,95_BNNR,96_BNNR,97_BNNR,98_BNNR,99_BNNR,100_BNNR
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.0005827590664005,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591,0.000582759066400591
HR@10,0.0163265306122449,0.0204081632653061,0.0163265306122449,0.0183673469387755,0.0122448979591836,0.0142857142857142,0.0183673469387755,0.0142857142857142,0.0122448979591836,0.0142857142857142,0.0163265306122449,0.0142857142857142,0.0163265306122449,0.0122448979591836,0.0163265306122449,0.0122448979591836,0.0183673469387755,0.0163265306122449,0.0142857142857142,0.0163265306122449,0.0142857142857142,0.0183673469387755,0.0163265306122449,0.0163265306122449,0.0183673469387755,0.0183673469387755,0.0204081632653061,0.0163265306122449,0.0183673469387755,0.0142857142857142,0.0183673469387755,0.0183673469387755,0.0163265306122449,0.0204081632653061,0.0204081632653061,0.0122448979591836,0.0142857142857142,0.0163265306122449,0.0163265306122449,0.0122448979591836,0.0204081632653061,0.0122448979591836,0.0142857142857142,0.0163265306122449,0.0122448979591836,0.0183673469387755,0.0163265306122449,0.0142857142857142,0.0183673469387755,0.0163265306122449,0.0163265306122449,0.0122448979591836,0.0204081632653061,0.0204081632653061,0.0163265306122449,0.0142857142857142,0.0142857142857142,0.0163265306122449,0.0163265306122449,0.0163265306122449,0.0163265306122449,0.0163265306122449,0.0142857142857142,0.0163265306122449,0.0142857142857142,0.0142857142857142,0.0183673469387755,0.0163265306122449,0.0163265306122449,0.0163265306122449,0.0163265306122449,0.0183673469387755,0.0163265306122449,0.0204081632653061,0.0163265306122449,0.0122448979591836,0.0183673469387755,0.0163265306122449,0.0122448979591836,0.0163265306122449,0.0183673469387755,0.0204081632653061,0.0142857142857142,0.0163265306122449,0.0142857142857142,0.0204081632653061,0.0163265306122449,0.0183673469387755,0.0163265306122449,0.0142857142857142,0.0163265306122449,0.0183673469387755,0.0183673469387755,0.0163265306122449,0.0163265306122449,0.018367346938775512,0.018367346938775512,0.0163265306122449,0.0163265306122449,0.0163265306122449
HR@2,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225
HR@5,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.0081632653061224,0.0081632653061224,0.010204081632653,0.010204081632653,0.0081632653061224,0.010204081632653,0.010204081632653,0.010204081632653,0.0081632653061224,0.010204081632653,0.010204081632653,0.010204081632653,0.0081632653061224,0.010204081632653,0.0081632653061224,0.0081632653061224,0.010204081632653,0.010204081632653,0.0081632653061224,0.010204081632653,0.010204081632653,0.0081632653061224,0.010204081632653,0.0081632653061224,0.010204081632653,0.0081632653061224,0.010204081632653,0.010204081632653,0.0081632653061224,0.010204081632653,0.010204081632653,0.010204081632653,0.0081632653061224,0.010204081632653,0.010204081632653,0.0081632653061224,0.010204081632653,0.0081632653061224,0.010204081632653,0.010204081632653,0.0081632653061224,0.010204081632653,0.010204081632653,0.010204081632653,0.0081632653061224,0.0081632653061224,0.010204081632653,0.0081632653061224,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.0081632653061224,0.010204081632653,0.010204081632653,0.010204081632653,0.0081632653061224,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.0081632653061224,0.0081632653061224,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.0081632653061224,0.010204081632653,0.0081632653061224,0.010204081632653,0.010204081632653,0.010204081632653,0.0081632653061224,0.010204081632653,0.0081632653061224,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.010204081632653,0.0081632653061224,0.010204081632653,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306
Lin's AUC,0.7028445156053492,0.6942903383974138,0.7133665250182231,0.7126787359383132,0.7089929545024292,0.7021958798128871,0.6926397778681215,0.7035161287665386,0.7053215552355403,0.7039585341323191,0.7040127020089697,0.7007789825682225,0.710192292855764,0.7029830372512332,0.7104969167727738,0.7143168388108349,0.7103571875994323,0.6880062274134733,0.7118424554706653,0.7063179065765309,0.6935218667548552,0.7069461970810906,0.6956397725318637,0.699812701820791,0.7099285035090317,0.7075920817974314,0.7013567061204331,0.7208119137340447,0.7099613696823909,0.7010729623197092,0.6870994892136826,0.6662238089895961,0.7043332319150819,0.6973004292627456,0.6907422557109139,0.708122941449667,0.6901427265086317,0.7092801557521274,0.7082265604862839,0.7012226353137361,0.7376176287947745,0.7015523225341439,0.7186806924932967,0.706504559804085,0.7101651738611195,0.710505172636054,0.7001391431442877,0.6895672531973871,0.6901277545009995,0.6886556604942428,0.6940257336494442,0.723715071418038,0.7063999935765252,0.70105347993309,0.7055669240552644,0.7044113399449676,0.699393844186974,0.7014727258451104,0.7155719055035366,0.6966010221163629,0.7174273431296029,0.7035733577079984,0.7073256577726422,0.7207893245536151,0.7099310931450422,0.697827620329444,0.7041944977712294,0.7084482096685794,0.7108782321245581,0.6907160601651114,0.7087515644004171,0.6813952575138053,0.7117650455786126,0.7096096788364458,0.7023679616523321,0.7153035603677094,0.7190497304615381,0.7006778927534303,0.7001337940056108,0.6954226877090158,0.700448291354791,0.6987198978460991,0.6887960736998265,0.7209747604619803,0.7014243655484492,0.7017870686546255,0.7079240412303159,0.7098995198830919,0.6912073449199587,0.6898570721762416,0.7014970051864836,0.7067351491841439,0.6957156450507005,0.7097090815594506,0.713785917954835,0.7088733354267304,0.7015879459451976,0.7005553787388069,0.6992764765704027,0.7083740419757093
NDCGk,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612,0.2344515203780612
global AUC,0.931781216916438,0.9293013274566424,0.9321656167268368,0.931237465618846,0.931021046614954,0.9295446644328984,0.9295500248323898,0.9323817507076534,0.9303964136313052,0.9307486707015188,0.9290481404760405,0.9303113234321164,0.9316440756066756,0.9306301246903224,0.9313606683173892,0.9311491752985084,0.9302080487607256,0.9289425541692252,0.9308759993547864,0.9303515824500797,0.9287430242568004,0.9293220103035252,0.9288212444170368,0.9303049074644084,0.9317291068355728,0.9304136427847864,0.9291366352267212,0.9334661219803624,0.9317740972365852,0.929331378717158,0.928647889451304,0.9246766020075768,0.93099513900025,0.9309192638919364,0.9276172401140926,0.9311130697547392,0.9301659891831976,0.9302223372623404,0.9312827194204936,0.9293277107650306,0.9341062366311892,0.9313928680621896,0.9318390294244848,0.9319845779321296,0.9328157641899132,0.9309622610970982,0.9288046521427034,0.9299504724247644,0.9291831391985472,0.9285621289564692,0.9294320095538162,0.9329835621885164,0.930837723704292,0.9293909681966536,0.9308119851377568,0.9312268352409764,0.9321396363821066,0.930488063292578,0.9326928347203868,0.9303889145759112,0.9328137513372988,0.9305800589128936,0.9326865720754364,0.9328426821622772,0.9315544132442244,0.9298852650421714,0.9316753750716932,0.9310810331610784,0.930889802334335,0.9306341897090789,0.9316687605706704,0.9271856365510762,0.9305645418635408,0.930910917630022,0.9279819123963298,0.9319456418143712,0.9320805304590007,0.9319083961783006,0.929626253762452,0.9306083214079024,0.9304319451975716,0.927830490447658,0.9273882722321832,0.9326421340294868,0.9304332169901902,0.930446107895898,0.9314522039694318,0.9325077623577456,0.929157740694026,0.9296764551715512,0.9302887456732022,0.9301885551480534,0.9302893746896445,0.9333643589141084,0.931197269502527,0.9295668156400378,0.9304753748515375,0.9295325421066555,0.9300997675115917,0.9320923481054045
global NDCG,0.6440236265978695,0.6490401263608062,0.6470753321135028,0.6450861669695259,0.6363087643609452,0.6407299325190883,0.6492534817544573,0.6438764374917767,0.6346608421164364,0.6394772073112017,0.6351971402016449,0.6459884338245373,0.6439359831336897,0.6380522660142034,0.6441417113080103,0.6400862346932845,0.6378105424201724,0.6460644456759123,0.6443145630115399,0.6409186954101508,0.6437316830446651,0.6416552086415644,0.6369937840449476,0.6440960714735532,0.6488133109794982,0.6406920121798162,0.646779153504583,0.6446356413796663,0.6475119084720515,0.6380377230428035,0.6417535723766967,0.6369969033838941,0.6411974409554325,0.6491038805907801,0.6420891870118076,0.6361905008117948,0.6393145710192647,0.6432397750081443,0.6444221351678364,0.6354789745221023,0.6500050384448735,0.6405114865049636,0.6393272389697182,0.6409285581554709,0.6430052153655137,0.6453612855772991,0.6414661422545921,0.6378603104684979,0.6437739789135231,0.6369372615562757,0.6437939492197388,0.635923840941956,0.6446436441439097,0.6429129272281047,0.6460604982425809,0.6445715652561462,0.6404674484857855,0.6405747587885715,0.6464857351713162,0.6443288691261619,0.6435414481259006,0.6433996858950586,0.638979702739472,0.6464408576262712,0.6423299966489943,0.6420716138747228,0.6488571154944334,0.6426858779102379,0.6469863184285808,0.6469664048440714,0.6410803042120992,0.6414541220119386,0.6433780736557858,0.6426580563497198,0.6376105450536571,0.6434381727239875,0.6448441985304926,0.6411480684218298,0.6362914710237005,0.6441498311298585,0.6479267689671193,0.6495592478435429,0.6401674632735402,0.6450993576571076,0.6395232497855293,0.6518952036398561,0.6448317990476004,0.6507619561278182,0.6433353563682871,0.6412560125412545,0.6392434029956903,0.6421797886109655,0.6436303701776831,0.6469892165581105,0.6412240823572259,0.648392368704444,0.647192427824232,0.6484851159246964,0.6444109194977207,0.6484237320538434
prediction time (sec),0.0912115573883056,0.1987373828887939,0.1296761035919189,0.1270637512207031,0.1301171779632568,0.1283645629882812,0.129887580871582,0.1289689540863037,0.2028372287750244,0.1284294128417968,0.1294226646423339,0.1346175670623779,0.1313080787658691,0.1295142173767089,0.1226563453674316,0.1223313808441162,0.129857063293457,0.127673864364624,0.1269609928131103,0.1248385906219482,0.1230673789978027,0.1314630508422851,0.2090787887573242,0.122514009475708,0.1699087619781494,0.1295185089111328,0.1225011348724365,0.1289453506469726,0.1300535202026367,0.1264586448669433,0.1181552410125732,0.1337056159973144,0.1453025341033935,0.2119505405426025,0.1303780078887939,0.1296868324279785,0.1199126243591308,0.1217057704925537,0.2147505283355713,0.1245036125183105,0.1290202140808105,0.1279385089874267,0.1184735298156738,0.1282477378845214,0.1262869834899902,0.1290946006774902,0.1477291584014892,0.1251077651977539,0.124629259109497,0.1286630630493164,0.1307201385498047,0.127859354019165,0.1292195320129394,0.1283013820648193,0.1203489303588867,0.1232576370239257,0.1253223419189453,0.1314976215362548,0.1264445781707763,0.1989657878875732,0.1256580352783203,0.1216542720794677,0.065347671508789,0.1104228496551513,0.0818521976470947,0.0721361637115478,0.0668575763702392,0.066751480102539,0.0756771564483642,0.1008491516113281,0.0766711235046386,0.0832359790802002,0.0671687126159668,0.0621929168701171,0.0978519916534423,0.0984394550323486,0.0938353538513183,0.1039612293243408,0.1049907207489013,0.0797846317291259,0.0678620338439941,0.0656533241271972,0.0755743980407714,0.1007177829742431,0.0796594619750976,0.0824882984161377,0.0698506832122802,0.0772087574005127,0.0733485221862793,0.0806696414947509,0.0802423954010009,0.0673964023590087,0.0677998065948486,0.0700182914733886,0.1118016242980957,0.10863065719604492,0.10685276985168457,0.10227203369140625,0.10474252700805664,0.07020139694213867
training time (sec),3544.516202926636,2935.233132839203,2948.3220376968384,3032.0712389945984,3895.949436903,3063.9578533172607,3068.432927131653,3076.3244619369507,3479.4292781353,3296.5834872722626,3055.593987703324,5155.822228431702,3447.11301445961,3056.0196208953857,3036.9884963035583,5768.370204210281,3063.204380273819,3044.6376860141754,3062.349778175354,2872.394433736801,3996.6358370780954,4045.007987976074,6132.2837789058685,2840.817467451096,8469.808193922043,3034.6989336013794,3018.048704624176,3050.908178329468,3034.918102741241,3130.9050254821777,3117.6691558361053,3130.444543123245,5200.934302330017,7814.141465425491,6637.775723934174,3090.8941457271576,2800.6681039333344,5114.603530168533,8162.227194309235,3732.400812864304,3084.594082593918,3032.4180924892426,3038.488192796707,3051.009206056595,3038.969533920288,3016.2988703250885,6594.871752500534,2945.818877696991,3048.0483117103577,3057.7818586826324,3042.024616241455,3024.707638502121,3034.568525791168,3032.5296347141266,2809.471577167511,2821.534236907959,2815.6045203208923,3049.7497770786285,3397.0163044929504,2948.614243030548,3087.144212245941,3057.525987148285,1995.9892389774325,1992.1172802448275,2199.209731578827,2250.281308889389,2663.749905347824,2009.6446199417117,2069.444646596909,2062.8118929862976,1965.0597898960116,2044.7531535625455,2053.572786092758,2078.510892391205,2049.8752958774567,2076.674882650376,2039.8364906311035,2055.624531984329,2067.287260055542,2417.036970853805,2112.712513923645,2001.5913906097408,2026.8268237113955,2047.9400856494904,3146.8020601272583,3046.812933444977,3047.5768258571625,3231.3414990901947,3427.9964282512665,2923.7379126548767,2086.3525490760803,2041.3203427791595,2018.903267621994,2052.703916311264,1999.289524078369,2304.1367433071136,2103.469513654709,2117.0532257556915,2128.292772293091,2109.01482963562
