,1_LRSSL,2_LRSSL,3_LRSSL,4_LRSSL,5_LRSSL,6_LRSSL,7_LRSSL,8_LRSSL,9_LRSSL,10_LRSSL,11_LRSSL,12_LRSSL,13_LRSSL,14_LRSSL,15_LRSSL,16_LRSSL,17_LRSSL,18_LRSSL,19_LRSSL,20_LRSSL,21_LRSSL,22_LRSSL,23_LRSSL,24_LRSSL,25_LRSSL,26_LRSSL,27_LRSSL,28_LRSSL,29_LRSSL,30_LRSSL,31_LRSSL,32_LRSSL,33_LRSSL,34_LRSSL,35_LRSSL,36_LRSSL,37_LRSSL,38_LRSSL,39_LRSSL,40_LRSSL,41_LRSSL,42_LRSSL,43_LRSSL,44_LRSSL,45_LRSSL,46_LRSSL,47_LRSSL,48_LRSSL,49_LRSSL,50_LRSSL,51_LRSSL,52_LRSSL,53_LRSSL,54_LRSSL,55_LRSSL,56_LRSSL,57_LRSSL,58_LRSSL,59_LRSSL,60_LRSSL,61_LRSSL,62_LRSSL,63_LRSSL,64_LRSSL,65_LRSSL,66_LRSSL,67_LRSSL,68_LRSSL,69_LRSSL,70_LRSSL,71_LRSSL,72_LRSSL,73_LRSSL,74_LRSSL,75_LRSSL,76_LRSSL,77_LRSSL,78_LRSSL,79_LRSSL,80_LRSSL,81_LRSSL,82_LRSSL,83_LRSSL,84_LRSSL,85_LRSSL,86_LRSSL,87_LRSSL,88_LRSSL,89_LRSSL,90_LRSSL,91_LRSSL,92_LRSSL,93_LRSSL,94_LRSSL,95_LRSSL,96_LRSSL,97_LRSSL,98_LRSSL,99_LRSSL,100_LRSSL
ACC,0.1387755102040816,0.1448979591836734,0.136734693877551,0.1285714285714285,0.1285714285714285,0.136734693877551,0.1346938775510204,0.1306122448979592,0.8693877551020408,0.1408163265306122,0.1469387755102041,0.8591836734693877,0.1306122448979592,0.1265306122448979,0.1428571428571428,0.1265306122448979,0.136734693877551,0.1448979591836734,0.826530612244898,0.1326530612244898,0.1326530612244898,0.7448979591836735,0.1306122448979592,0.1408163265306122,0.8571428571428571,0.1265306122448979,0.2204081632653061,0.7204081632653061,0.1306122448979592,0.1346938775510204,0.1265306122448979,0.1510204081632653,0.826530612244898,0.1265306122448979,0.1326530612244898,0.1265306122448979,0.1469387755102041,0.1244897959183673,0.1306122448979592,0.1469387755102041,0.1265306122448979,0.1326530612244898,0.1428571428571428,0.1489795918367347,0.8367346938775511,0.1306122448979592,0.1306122448979592,0.6877551020408164,0.1387755102040816,0.8653061224489796,0.1244897959183673,0.8571428571428571,0.763265306122449,0.1306122448979592,0.1408163265306122,0.136734693877551,0.8510204081632653,0.136734693877551,0.136734693877551,0.1387755102040816,0.8306122448979592,0.1326530612244898,0.1306122448979592,0.5836734693877551,0.1183673469387755,0.1306122448979592,0.1183673469387755,0.1326530612244898,0.1510204081632653,0.1326530612244898,0.1346938775510204,0.1326530612244898,0.1346938775510204,0.1326530612244898,0.1265306122448979,0.1428571428571428,0.1285714285714285,0.1510204081632653,0.1346938775510204,0.8591836734693877,0.14081632653061224,0.12448979591836734,0.14285714285714285,0.1326530612244898,0.12857142857142856,0.12857142857142856,0.1326530612244898,0.1306122448979592,0.13673469387755102,0.1306122448979592,0.726530612244898,0.1326530612244898,0.1306122448979592,0.1326530612244898,0.8448979591836735,0.12857142857142856,0.14489795918367346,0.8204081632653061,0.1306122448979592,0.12448979591836734
AUC,0.4926990670207092,0.5020296017557787,0.5004474909146139,0.4949991210797462,0.4930233685843502,0.4955573597829993,0.4980538521575579,0.4914853743779268,0.508297053405213,0.4891394574183154,0.4917317197591415,0.4987046705424362,0.4992385931349756,0.495366959372266,0.4896851165779437,0.4865690965289724,0.4942212453267125,0.495512186096489,0.4970120185116855,0.4891587788924009,0.4892615061079079,0.4877581391898323,0.4883575662838899,0.4951372211182405,0.5090714751802033,0.4884929753371821,0.5097736647396092,0.4739061866125034,0.4938428869398369,0.4898800166290369,0.4899730082820066,0.4898452344430286,0.4926678122027001,0.4975973512783473,0.4912796543804739,0.4964499923723245,0.4988018131476437,0.4937217507013171,0.4914181522892846,0.4965205498427274,0.4881699195690543,0.4920125372916121,0.4922696555951258,0.4930667597112319,0.4890231444140014,0.4960343285018402,0.4930424401630879,0.4849559914428433,0.4934256392923408,0.510130462737373,0.4919089028974047,0.5061949014592934,0.4917463893241312,0.4982629321534129,0.500066721589334,0.4991297059253479,0.5056783846739026,0.4986253393342344,0.4894272224325108,0.4916855738761251,0.5009589110579271,0.4974738869695719,0.4916097978791643,0.5147021948582429,0.4916377275313063,0.4931272188954139,0.4889513696826378,0.490654471463305,0.4999295381312519,0.4957938100275353,0.4955936102963466,0.4945333690461877,0.4972494747029158,0.4938633581865088,0.487776936822799,0.496419115867857,0.4899846287234881,0.4916981797747267,0.49666150402860265,0.5032521418479755,0.4843922713424969,0.4911790938872558,0.4916414546643307,0.4948416171653761,0.489570749590372,0.4923443814634229,0.4929971206996909,0.49906551814158606,0.48870220312134177,0.4950490875508613,0.5296818515066,0.4955792837009539,0.5007541481232045,0.4999368313485421,0.49932332503562254,0.48961821574407843,0.49976654708209295,0.5103983236206988,0.4925066920632591,0.49156458128313735
Fscore,0.0001568233690497,0.0001867306002682,0.0001928538063036,9.777110059173504e-05,7.831653276626554e-05,0.0001316924744445,0.0001168394147609,5.217208128039657e-05,0.0005927263388511,8.151397334665991e-05,0.0002421822308769,0.0005855348810673,0.0001112033015552,0.0002121283304777,8.696409618618177e-05,5.597208783585287e-05,9.672207542805348e-05,0.0002627111651851,0.000580763797701,0.0001886233963476,0.0001098247706394,0.0005397765565097,0.0001014611034964,9.592750390167144e-05,0.0006025192538312,8.673123126757247e-05,0.0003473282312761,0.0005421223967432,8.80617838327675e-05,0.0001153212999344,0.0001408927543986,7.970533679817158e-05,0.0005868806941261,0.0001384019298112,9.174926669044853e-05,0.0002216402845642,0.0001038410860088,8.557658982088187e-05,0.0001366250237253,0.0002065775932033,0.0001917489064711,0.0002731005235183,0.000200377199617,8.014038445076581e-05,0.0005824508448803,5.529782934761682e-05,0.0001790442319452,0.0006111367966902,0.0002152928239079,0.0005982693953633,0.0001387608517214,0.000589688704782,0.000600508547739,8.194386520469151e-05,0.0001616658488081,0.0001079514692236,0.0005919505825816,0.0001807516628819,0.0002626509544477,7.898537737200659e-05,0.0006088317323942,0.0001709298143075,0.0001657773701133,0.0004912739419161,9.175019430476909e-05,0.0001815251963342,4.628813629397921e-05,0.0001522250184207,0.0001149241462497,6.395148739618234e-05,9.91190791577252e-05,0.0001060921575621,5.79595390035024e-05,0.0001282564347949,9.646951929895196e-05,9.647964628515692e-05,5.30677538862879e-05,0.0001412784140587,0.00011802718251192132,0.0005968282811534653,0.00012436725651146887,8.589869646271956e-05,0.0001934997543983801,0.00012817636997998504,6.411576403422625e-05,0.00019080865031428993,9.251393856953391e-05,0.00010449689072693178,0.00012905061651509702,8.315453545856635e-05,0.0006205201421878177,0.00015006081951347543,0.0001226852045374225,9.994108553798598e-05,0.0005895725519138814,0.0002167966036777863,0.00018494832237964147,0.0006059052181030829,0.00014673306963990042,4.988197673457304e-05
HR@10,0.0,0.0020408163265306,0.0,0.0020408163265306,0.0,0.0020408163265306,0.0020408163265306,0.0,0.0,0.0020408163265306,0.0,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0,0.0020408163265306,0.0,0.0020408163265306,0.0,0.0,0.0,0.0,0.0040816326530612,0.0020408163265306,0.0,0.0,0.0,0.0,0.0020408163265306,0.0,0.0,0.0020408163265306,0.0,0.0020408163265306,0.0,0.0040816326530612,0.0061224489795918,0.0,0.0,0.0020408163265306,0.0020408163265306,0.0,0.0020408163265306,0.0,0.0,0.0,0.0020408163265306,0.0,0.0020408163265306,0.0020408163265306,0.0020408163265306,0.0020408163265306,0.0,0.0020408163265306,0.0,0.0040816326530612,0.0040816326530612,0.0040816326530612,0.0020408163265306,0.0020408163265306,0.0,0.0061224489795918,0.0061224489795918,0.0,0.0,0.0,0.0,0.0020408163265306,0.0,0.0,0.0,0.0,0.0,0.0040816326530612,0.0,0.0020408163265306,0.0,0.0,0.0,0.0,0.0,0.004081632653061225,0.0020408163265306124,0.0,0.0,0.004081632653061225,0.0,0.0020408163265306124,0.0020408163265306124,0.0020408163265306124,0.0,0.004081632653061225,0.0,0.0020408163265306124,0.0020408163265306124,0.0,0.0020408163265306124,0.0,0.0020408163265306124,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0020408163265306,0.0,0.0,0.0,0.0020408163265306,0.0,0.0020408163265306,0.0020408163265306,0.0,0.0,0.0020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306,0.0020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306,0.0,0.0020408163265306,0.0,0.0,0.0,0.0020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0020408163265306124,0.0020408163265306124,0.0020408163265306124,0.0,0.0,0.0,0.0020408163265306124,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0020408163265306,0.0,0.0,0.0,0.0020408163265306,0.0020408163265306,0.0,0.0,0.0020408163265306,0.0,0.0040816326530612,0.0020408163265306,0.0,0.0,0.0020408163265306,0.0,0.0020408163265306,0.0,0.0,0.0,0.0,0.0020408163265306,0.0020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306,0.0,0.0,0.0,0.0020408163265306,0.0040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020408163265306,0.0,0.0,0.0,0.0,0.0020408163265306,0.0,0.0020408163265306,0.0,0.0020408163265306,0.0,0.0,0.0020408163265306,0.0020408163265306,0.0,0.0020408163265306,0.0040816326530612,0.0,0.0,0.0,0.0,0.0020408163265306,0.0,0.0,0.0,0.0,0.0,0.0040816326530612,0.0,0.0020408163265306,0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0020408163265306124,0.0,0.0,0.0020408163265306124,0.0,0.0020408163265306124,0.0020408163265306124,0.0020408163265306124,0.0,0.004081632653061225,0.0,0.0020408163265306124,0.0020408163265306124,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.3525413702981682,0.3623407294246027,0.3515351559515006,0.3458392316460782,0.3460235645914089,0.337382465919657,0.3484002786738915,0.3303030740279259,0.6424207799033393,0.3553048158295608,0.3565093270531917,0.6354262644650038,0.3463254414516925,0.3436803955515328,0.355675608291247,0.3303105694411414,0.3478199972259975,0.3499892003436176,0.5910305689000372,0.3478901598724985,0.3585554609639818,0.5424172896824123,0.3503385863227013,0.3645925515802807,0.6143422483196372,0.3395255925372625,0.4156202122369302,0.5221460687364335,0.3560515041935474,0.3643957963486897,0.3500956133974089,0.3547746591621941,0.5795898632226794,0.338932423209964,0.3427286016572073,0.3430071177538719,0.3564717130442116,0.3403924428012034,0.344498147739163,0.3433368760679286,0.3366315800336201,0.3473459341991375,0.3471416499238005,0.3666065719146441,0.6148566108068648,0.3475445752228932,0.3383078101839823,0.5389398085001766,0.3501355296663341,0.6596424926219271,0.3366566979858941,0.6472183210903949,0.5780410010033243,0.3440563141311075,0.3458107450711939,0.3315640328872311,0.6435686348721683,0.3435540636154979,0.3505620300971218,0.3504686983988664,0.6002596929394725,0.3446672990079827,0.3361263927369021,0.4762479509458261,0.3313781297719876,0.344350563969001,0.3389414659930667,0.3409271160667125,0.3616543523343886,0.3292801391125493,0.3610307381239546,0.3469361292132409,0.3400508799491727,0.3533641865275708,0.3313706154476405,0.3574929099235006,0.3293820384711982,0.3399193949900986,0.3520759832638547,0.6476417042735337,0.3386803337664447,0.3500433921968134,0.3460177570564551,0.35043247241420367,0.348619271483326,0.34926182209032636,0.3356920886409704,0.3458615811073273,0.34207005508930166,0.3380768155792648,0.6058597090186797,0.34644475808400715,0.339465459620121,0.3444158359755301,0.6335911950627553,0.3345094685838519,0.3493701122649918,0.5856283342701335,0.34000605381083726,0.33373083404201465
NDCGk,0.2358287613852993,0.2376507451464484,0.2340040648009052,0.2320549770474506,0.2354228710645285,0.2340536374199465,0.233931138913051,0.2298272429695529,0.2079531445511058,0.2277171880159967,0.2304040462045678,0.2107572433146999,0.2339563584166165,0.2356931685831431,0.2287420066996195,0.2326366857256177,0.2330362081599052,0.2324622320524224,0.2100394371246731,0.2294754941261601,0.2348144904198783,0.206808628475356,0.2327984226059939,0.2301646221818545,0.2125689418675768,0.2328058589565605,0.2245209458732595,0.2013255065334775,0.229994685348123,0.2283166572803416,0.2307184837069749,0.2313994301938109,0.2061202492027588,0.2337673243229815,0.230381445188616,0.2380212724854491,0.2401716498445016,0.2359027911918843,0.2333117461796298,0.2351895216247098,0.2317908214425643,0.2328458627349014,0.2309571791936343,0.2266504492888468,0.2128141229814907,0.2274959006104289,0.2336987039767349,0.2024184754978765,0.2345111956807887,0.2130238573651702,0.2316524809862903,0.2086167016751532,0.2060426564904422,0.2311412616857255,0.2355398017888554,0.2304096160303997,0.2088001458725925,0.2306107359199619,0.2352951341611142,0.2300677950139227,0.2136500094259213,0.2394846102413098,0.2327998665372999,0.2168295867346683,0.2279841743710693,0.2323185784436038,0.2317093763978703,0.233195974835333,0.2312377696799641,0.2323020088155848,0.2350000202179052,0.2385353549949277,0.2315380569213641,0.2317322382211221,0.2293806819082402,0.2274014941990416,0.2298478300487458,0.2312431960246901,0.23457116391009225,0.21495217779690085,0.22440877504526766,0.23352408124503954,0.23025907408508717,0.2305261988390303,0.2316114858185081,0.23553141788072948,0.23609480828728371,0.2374472720762248,0.23318517495315935,0.2334957315351126,0.24056213251059821,0.23601887689458992,0.23341495347449864,0.23744227877525384,0.21189172898769892,0.2284337191755627,0.23238813344512643,0.22461886600006867,0.23273257389304283,0.22789130543490713
global AUC,0.1866631452229523,0.1923864478879338,0.1859034466837997,0.176954587017879,0.1775689984843455,0.1830758959051698,0.1827542876610916,0.1775833636473393,0.8178713281607475,0.1886454512263206,0.1950250853722737,0.8106713268398129,0.178610555359796,0.1760588047028571,0.1901000006408105,0.174484101353891,0.185216029996536,0.1927197283183634,0.7764028806279724,0.1813698421290602,0.1814086288554137,0.7050057049825612,0.1806810494683297,0.190784492401619,0.8084869335790481,0.1757504333235298,0.2603557551879015,0.6782301930486843,0.1802489308981014,0.1850441787732347,0.1778800942911372,0.1966204872935337,0.7792961675561417,0.1757574547195634,0.1806224172732318,0.1765676947298289,0.1940701047473561,0.172702632437741,0.1792257295086984,0.1922693761340232,0.1752697350272169,0.1814519051866219,0.1887188574450995,0.1963148206849069,0.7895914958864093,0.1800747051377316,0.1785947709784551,0.6591105306512439,0.1870350983705054,0.818563250178277,0.1738214915025579,0.8107317045555377,0.7227849726556725,0.1779912336337293,0.1878449963530806,0.1829382356568427,0.8040913077122095,0.1842397925472323,0.1863458614669127,0.1858594037388029,0.7796497770117056,0.1810138424110168,0.1791842733938193,0.562684201076585,0.1677966226298808,0.1788554511174221,0.1697563194235127,0.1815865500873802,0.1962488643796126,0.1804009052018362,0.1846678421673516,0.1813609847912866,0.1822078650092974,0.1825640534322734,0.1740065166889659,0.1914844225847252,0.1754273272340492,0.1950440541493521,0.1823135083207278,0.8124001392170641,0.18646668373135852,0.17374113858344792,0.19136831794359427,0.1810528296363613,0.17841352775340447,0.17834897100969363,0.18042882960050732,0.17964377383603752,0.18487113635004637,0.1780161819983593,0.6949645189516168,0.1810438818774741,0.17807052901894627,0.18253489065748219,0.7989931884202633,0.17674041085073805,0.19204492341076146,0.7755258665910377,0.1797663455524626,0.17252007220951499
global NDCG,0.3981997195985458,0.4114046628176798,0.3992183020049972,0.3997316194270875,0.3958136218372028,0.4089462528027195,0.4060103677599146,0.3928216169881595,0.5017248453074141,0.4069218735447951,0.4010771918562092,0.5211668215722542,0.4108874545412452,0.4038672752502416,0.3945123039101375,0.4046776708835859,0.3974719406204675,0.4112893040240157,0.4938290396855347,0.3973237745054758,0.3953935189231668,0.4669749312425105,0.4107343278064899,0.4013899007736088,0.5124986327128741,0.393986810038286,0.4113120206359967,0.4680581992152029,0.3979469966893287,0.397590951648869,0.3931893327432215,0.4014675311779486,0.4944626718897617,0.3968580987097642,0.3961280211514387,0.4144350855165828,0.4195843055057801,0.3945637711274761,0.3968103103034177,0.4099428777398247,0.3982454881190767,0.4016060090366474,0.4009658179173327,0.395084243684572,0.4938531445026688,0.3931974702644682,0.4119336029674899,0.4586498601294104,0.4035553587391873,0.5157575788466155,0.3957621762445107,0.5148022268374915,0.4755443280058647,0.4079081815573082,0.4022562796788516,0.4131165818464622,0.5052377760965787,0.4063930838133707,0.4070020092531903,0.4098203273892323,0.49673860357729,0.4153457513395914,0.4118617103027198,0.4391670880944868,0.3910527778135343,0.3940777596951688,0.3916366177302694,0.4100172840339973,0.4007864923382981,0.3938334821353442,0.3991293961316873,0.4003633871376115,0.3956385114354471,0.40910010718096,0.3917379104172209,0.4028494684131482,0.3920723673655669,0.3990786308908083,0.39735922436284143,0.5097775169146964,0.39358260280231977,0.41149404678926665,0.4085316156299,0.3998738293202298,0.3948886637279443,0.41379508039288604,0.3947286662313628,0.40836939915625975,0.4067606249148647,0.40737701835931767,0.4758418333774514,0.4106185005443643,0.39410463942587554,0.41178212755807697,0.5217728341729094,0.3983371663066937,0.410122253736303,0.4909225402412883,0.40072709593386435,0.39121954105371143
prediction time (sec),2.9639792442321777,3.1415514945983887,2.955922365188598,3.4611620903015137,3.414877891540528,3.502197027206421,3.62099027633667,3.3254427909851074,3.2654662132263184,3.08624529838562,3.1999731063842773,3.2469282150268555,3.5437934398651123,3.5895776748657227,3.2911884784698486,3.236098289489746,3.2837698459625244,2.9387295246124268,2.88795018196106,2.9315850734710693,3.011268615722656,2.879138708114624,2.913761138916016,2.8395206928253174,2.8645474910736084,2.8368492126464844,3.0353543758392334,2.835270404815674,3.19626259803772,3.1388754844665527,3.5908186435699463,3.4992592334747314,3.0053281784057617,2.9486587047576904,2.9541969299316406,2.9129254817962646,2.8983874320983887,2.9485349655151367,2.9468178749084477,2.9210422039031982,3.0972461700439453,2.880236387252808,2.9136478900909424,2.855419158935547,2.9569458961486816,3.028486490249634,3.0249085426330566,2.9002785682678223,2.893595695495605,3.023310422897339,2.935109615325928,2.933406352996826,2.953352212905884,2.923825025558472,2.886703968048096,3.2133803367614746,3.025695323944092,3.672449350357056,3.219776391983032,2.8961336612701416,3.3522653579711914,2.982774019241333,3.430647850036621,2.9517738819122314,2.9471914768218994,2.9813714027404785,3.3419013023376465,3.2082436084747314,3.1954779624938965,2.972465991973877,2.8861989974975586,3.167262077331543,2.883556365966797,2.890019655227661,3.093071937561035,2.9192709922790527,3.1034810543060303,7.638281583786011,4.112422466278076,3.895886182785034,3.6650431156158447,3.47774076461792,3.402214765548706,3.5181667804718018,3.5470166206359863,3.808340072631836,3.4842209815979004,4.375988483428955,3.5206034183502197,3.949160099029541,3.519993543624878,3.409698724746704,3.39007306098938,3.445089817047119,3.4585602283477783,3.3738012313842773,3.472738027572632,3.5886378288269043,3.884920120239258,3.508065938949585
training time (sec),442.57090735435486,433.2024071216583,437.91052865982056,361.22474789619446,370.9250650405884,377.31741094589233,370.57354760169983,461.9941470623016,544.1430442333221,450.50418066978455,452.4355313777924,748.107017993927,556.9258682727814,370.8763360977173,455.7791845798493,390.21277260780334,392.39774775505066,432.42151975631714,531.6557559967041,452.7752442359924,570.2949011325836,460.71840047836304,378.53013467788696,532.4620320796967,434.2807269096375,520.1511225700378,445.60364031791687,515.3738622665405,443.5266253948212,366.4064662456513,364.9991273880005,446.8363058567047,526.977865934372,351.61696600914,354.426381111145,345.333291053772,341.79861783981323,427.7056496143341,535.9583036899567,344.4158613681793,441.48664951324463,358.35943841934204,349.2418909072876,424.62472558021545,440.6006953716278,612.173014163971,436.15850496292114,521.7424461841583,445.7089228630066,437.557804107666,440.478355884552,551.0594797134399,620.7069597244263,524.5389697551727,346.7019295692444,634.9364085197449,524.470773935318,684.1151118278503,358.0988256931305,351.53598618507385,456.3283293247223,354.95092844963074,540.6339766979218,495.2646927833557,363.26143407821655,435.2543630599976,545.1693444252014,543.2993426322937,443.02761816978455,453.4825048446655,350.931848526001,439.5223436355591,525.6668539047241,441.37720584869385,340.1976194381714,466.3160102367401,605.9373242855072,597.3889751434326,502.74524092674255,693.4168150424957,475.7114520072937,535.9280724525452,538.9082345962524,458.6407516002655,368.3016459941864,458.2161762714386,362.4073784351349,506.6655821800232,371.79373121261597,557.5675733089447,561.2485921382904,540.2237935066223,357.8552486896515,442.9927718639374,441.2606875896454,447.1876890659332,363.5223307609558,511.6288068294525,477.9099395275116,477.21695041656494
