,1_SCPMF,2_SCPMF,3_SCPMF,4_SCPMF,5_SCPMF,6_SCPMF,7_SCPMF,8_SCPMF,9_SCPMF,10_SCPMF,11_SCPMF,12_SCPMF,13_SCPMF,14_SCPMF,15_SCPMF,16_SCPMF,17_SCPMF,18_SCPMF,19_SCPMF,20_SCPMF,21_SCPMF,22_SCPMF,23_SCPMF,24_SCPMF,25_SCPMF,26_SCPMF,27_SCPMF,28_SCPMF,29_SCPMF,30_SCPMF,31_SCPMF,32_SCPMF,33_SCPMF,34_SCPMF,35_SCPMF,36_SCPMF,37_SCPMF,38_SCPMF,39_SCPMF,40_SCPMF,41_SCPMF,42_SCPMF,43_SCPMF,44_SCPMF,45_SCPMF,46_SCPMF,47_SCPMF,48_SCPMF,49_SCPMF,50_SCPMF,51_SCPMF,52_SCPMF,53_SCPMF,54_SCPMF,55_SCPMF,56_SCPMF,57_SCPMF,58_SCPMF,59_SCPMF,60_SCPMF,61_SCPMF,62_SCPMF,63_SCPMF,64_SCPMF,65_SCPMF,66_SCPMF,67_SCPMF,68_SCPMF,69_SCPMF,70_SCPMF,71_SCPMF,72_SCPMF,73_SCPMF,74_SCPMF,75_SCPMF,76_SCPMF,77_SCPMF,78_SCPMF,79_SCPMF,80_SCPMF,81_SCPMF,82_SCPMF,83_SCPMF,84_SCPMF,85_SCPMF,86_SCPMF,87_SCPMF,88_SCPMF,89_SCPMF,90_SCPMF,91_SCPMF,92_SCPMF,93_SCPMF,94_SCPMF,95_SCPMF,96_SCPMF,97_SCPMF,98_SCPMF,99_SCPMF,100_SCPMF
ACC,0.5529715762273901,0.6330749354005168,0.5452196382428941,0.5322997416020672,0.5348837209302325,0.6201550387596899,0.58656330749354,0.5762273901808785,0.6098191214470284,0.5839793281653747,0.6511627906976745,0.5271317829457365,0.5297157622739018,0.5142118863049095,0.5348837209302325,0.5684754521963824,0.537467700258398,0.4780361757105943,0.5736434108527132,0.6046511627906976,0.5322997416020672,0.627906976744186,0.599483204134367,0.6227390180878553,0.6253229974160207,0.5478036175710594,0.6020671834625323,0.6046511627906976,0.5400516795865633,0.648578811369509,0.524547803617571,0.5064599483204134,0.5426356589147286,0.5658914728682171,0.599483204134367,0.5813953488372093,0.537467700258398,0.6408268733850129,0.6072351421188631,0.4625322997416021,0.5038759689922481,0.5943152454780362,0.5788113695090439,0.5788113695090439,0.5607235142118863,0.5348837209302325,0.5064599483204134,0.5581395348837209,0.5736434108527132,0.5478036175710594,0.599483204134367,0.6434108527131783,0.5581395348837209,0.5297157622739018,0.5322997416020672,0.6537467700258398,0.5633074935400517,0.5555555555555556,0.6098191214470284,0.5219638242894057,0.4909560723514212,0.6537467700258398,0.5788113695090439,0.5788113695090439,0.5503875968992248,0.5529715762273901,0.5710594315245479,0.5529715762273901,0.6046511627906976,0.5555555555555556,0.5762273901808785,0.5478036175710594,0.6098191214470284,0.6149870801033591,0.5297157622739018,0.5633074935400517,0.5710594315245479,0.5529715762273901,0.6666666666666666,0.5658914728682171,0.5788113695090439,0.5684754521963824,0.5581395348837209,0.5917312661498708,0.5478036175710594,0.5400516795865633,0.5633074935400517,0.5167958656330749,0.5917312661498708,0.5142118863049095,0.5478036175710594,0.5684754521963824,0.5633074935400517,0.5788113695090439,0.5297157622739018,0.5478036175710594,0.5891472868217055,0.6020671834625323,0.5426356589147286,0.5943152454780362
AUC,0.5278816766814666,0.5462121533386238,0.512902459012305,0.524673362861384,0.5263299904240085,0.5674565463756678,0.5415485517266663,0.5367463464360237,0.5621941644056205,0.5586773752973908,0.576858067192272,0.5177824885607316,0.5212696858517357,0.49727852725180355,0.5229876773920208,0.5155624886275806,0.5181126989925746,0.49138678305991146,0.5425453733637987,0.5341466656659503,0.49844746309503896,0.573415109773794,0.5315592750254647,0.5698142654818539,0.546987586681972,0.5039551107575584,0.5528200612853771,0.5377429865169352,0.5146656017855961,0.5813802670922034,0.5211286901012846,0.5057164899769818,0.5177202903937235,0.5580706348962812,0.5518541745090043,0.5496494596646649,0.5165777252710175,0.5837315595296914,0.5459230855672204,0.4665012203840848,0.4963450542821635,0.5357469256822343,0.5504136891641379,0.5511687917016175,0.53764766482084,0.5229917033440494,0.4806592450471853,0.5361671474582349,0.5449364484402295,0.5136625433166453,0.5359347450150778,0.5583949144602892,0.5130894550154163,0.5331066906050168,0.5290144250146152,0.5824156694946226,0.5231348429139314,0.5214391583144304,0.5570914913535179,0.5123420557257292,0.4881014353862266,0.5676737324945497,0.5457348445859944,0.5201817764816545,0.5380132957494951,0.5238555343235457,0.5166312695416853,0.5219370390712368,0.5453339038887023,0.5190669000814031,0.5427153552876264,0.5340524293549124,0.548761616537027,0.5784676322334944,0.5087347345947534,0.5426657756319704,0.5403230681644481,0.533498257906714,0.5932807996881421,0.5614953322353058,0.5295294523930146,0.5345758197060352,0.5201885018440816,0.5301572731225883,0.5267851051927378,0.5255563660852262,0.5309674075576397,0.5026413891660576,0.5376921381665043,0.5012983197349712,0.5072272689542042,0.5161132787267192,0.5069610188298033,0.5282860643852435,0.5263138767479113,0.5285548099602029,0.546704272774472,0.5326415085140169,0.5195174045018003,0.5487503583748107
Fscore,0.001359362478417156,0.0020051301299237826,0.00112313510087522,0.0011709399843219642,0.001331613054814197,0.001383385236420719,0.0015105380384793018,0.001323835851347465,0.0013557272665292194,0.0014619050531034018,0.002065856779739119,0.001317829122235886,0.001736878755127439,0.0014275791896544026,0.0014011153404959507,0.0016896451586034787,0.0017116712229509287,0.0011772200054244195,0.0013846931962848924,0.00160647262204012,0.0017400544446658167,0.0014251045296138924,0.0017137672745711134,0.001547716576438536,0.0016248294966407506,0.001521214110541198,0.0016090600809079638,0.0015903645053325945,0.0014413719439290108,0.0014588940714268432,0.0013773055360836398,0.001429898952672928,0.0013589598679486397,0.0016920478163913234,0.0013522746925656482,0.0015584164244855517,0.0016271719800272464,0.0016880478315633636,0.0014024705419133769,0.001466190141257035,0.0011853858932686144,0.001538615587476289,0.0013364050202727114,0.0013924524074494019,0.0016403719231497783,0.0013118099856812547,0.001281477720848749,0.0019092033090916715,0.001639914184044478,0.0014068481517634868,0.0016200747291766856,0.0014963242800183215,0.0015731253488598662,0.0013764119250637133,0.0015657747089334378,0.0015227987931793066,0.0014449146793164504,0.0013625221543554962,0.0015729628072165582,0.0012969585930141453,0.0012683125245604322,0.0013353833945959524,0.0012602610868263572,0.0016287555611754702,0.0014684298934389615,0.0014400254110381813,0.0014407057934288647,0.0016218123400947762,0.00180246850813982,0.001248592358619382,0.0014562824369687265,0.0013006305758747755,0.0014966596602878164,0.0018994071433820182,0.001380276240598433,0.0013550892622038026,0.0015627089697663123,0.001627026622650527,0.0014910288772241836,0.0012133927512403802,0.0013652695342062343,0.0017504170309570763,0.001632062790793468,0.0015848594977425137,0.0015596024461035233,0.0013706233027829604,0.0015655009223641172,0.0013051482506233755,0.0013756975832481622,0.0014065096351610481,0.0013667773309589714,0.0015596458031171912,0.0014282886844265137,0.0012305839656752446,0.001556382086027299,0.001287680833206498,0.0015642538750248968,0.001488151075465163,0.001683057822381093,0.0013938420211570938
HR@10,0.0,0.0,0.0,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.5244055036529055,0.5662984179037029,0.5188677612180546,0.5204629386916106,0.5259506567102615,0.5719993032717446,0.5324588527790275,0.5527281120998684,0.5629198292845613,0.552461334499209,0.5829280057202405,0.528738765645608,0.516232312686553,0.4988452440753864,0.5053141227366675,0.5318258989132387,0.5198049459983931,0.4876547520726116,0.5469166468010014,0.5674390322231033,0.5159828457565867,0.5924290890537116,0.5834295172520851,0.5481847086024184,0.5717786909476975,0.5183352470315461,0.5614272264825112,0.5386778555376935,0.518222062994388,0.5821066506319227,0.5167400945469183,0.5089013044043119,0.5411864103706958,0.531195610122553,0.5560699485039114,0.5523501470410774,0.5190532837621651,0.5559749421716691,0.5782573211884761,0.47928986454145944,0.49167879719308927,0.5320847892697822,0.5374190605648292,0.544713154537933,0.5304430757828754,0.5182463389058091,0.521959058617089,0.5390696932633855,0.5232311993555051,0.5273875146105242,0.5665469200544109,0.5812923392778823,0.5184189728552276,0.5186733446987352,0.5303397141728191,0.5829276852639118,0.5259948349916854,0.5453383481693583,0.5633078353242689,0.5073801737541359,0.5230320100424849,0.5618468277244817,0.5509361467451155,0.5615862184439862,0.534036211704633,0.5277086969764704,0.5357741384460932,0.5157736092821382,0.5699107091116682,0.535250351996381,0.5305930715353752,0.5296889037915825,0.5541202982021782,0.5663987752057675,0.5368931368511676,0.5330651979641298,0.5425343970297942,0.5325676813665894,0.6032805990833391,0.5479813090390262,0.5408794150663913,0.5422661969768365,0.5326836840463626,0.5575709829928749,0.5385048795287356,0.531083255719656,0.5260544570366219,0.4984621105427384,0.5400939211636241,0.5462166452796604,0.5416050186962491,0.5422130926775024,0.5315435177165966,0.5206164421292379,0.5366779631789074,0.5474381302494267,0.5332037744038687,0.5628938635285387,0.521913264378486,0.5551744340309636
NDCGk,0.23181544862150277,0.2294925033489423,0.23857131637722973,0.25315395768140986,0.2538363088888105,0.2501200045714073,0.25035705492550536,0.2510543329677342,0.2396355269922311,0.2479855834814892,0.24390699319668788,0.22980357710946378,0.22995696275676494,0.2177421151186006,0.22204439155515587,0.22954884948109905,0.2358293371259535,0.21814446042081198,0.2347633617394835,0.2368103622333377,0.2393252039318721,0.23779820638739266,0.2327729011460105,0.2498009954218547,0.23741097087516716,0.23084042716158693,0.25821804765611456,0.24002716757900017,0.231991475639391,0.24120002556427506,0.2269293833057283,0.23612645649927416,0.22747415734400306,0.2553354702464534,0.2471949391830844,0.25024381771161475,0.24145704831866172,0.25086395201478884,0.23822175529390988,0.23556094693785923,0.23514977581626906,0.22930399314271163,0.23881157899353914,0.2402219515330733,0.2536427602804231,0.24075395065114616,0.23219355864284044,0.22579953221243945,0.24675966390137832,0.23130067931796905,0.23674509234927074,0.24849281646435192,0.24482420075845404,0.244665408569243,0.2375105855488565,0.24603308157094783,0.2312555953513842,0.2353138496064895,0.23901800723879016,0.232976837900407,0.21861784566069084,0.22877349002111175,0.23669352421948356,0.2639231348183428,0.23671633660425978,0.23785171585447407,0.2299618090914598,0.24857610306578004,0.23713793126311225,0.2334929151131109,0.2431590964951268,0.2379640443674896,0.24126080086888507,0.2503797959074207,0.21157905526884682,0.23601068975754347,0.25457111407013616,0.2284607636122277,0.23977182589962023,0.2369302026567767,0.23897517885803532,0.23094261894652257,0.23578237165152804,0.23618716247703964,0.24192733743991587,0.22694049538597436,0.24310035704717703,0.21650836214896943,0.23077362428596598,0.22803801506186433,0.23382914781141736,0.23237608079347244,0.22275401439593867,0.23480496339849283,0.24068029327756604,0.23591270359777963,0.243044741222511,0.2497539518075418,0.2183916818819331,0.2227555102142967
global AUC,0.550189203781637,0.6221980512134654,0.5405590670900206,0.5326763272019661,0.5340533046216459,0.6116784029846494,0.5779163195380014,0.5697697437284353,0.6044361404208658,0.578366076637918,0.6396518465152384,0.5256215482966637,0.5268686306092583,0.5128455114286071,0.53197803811486,0.5640855528153561,0.5326490814556298,0.48067714370941195,0.5664432933988537,0.5986207848856391,0.5294950759137921,0.6188485822041835,0.5921948902604675,0.6103246395546796,0.6148986604718796,0.5423433914361081,0.5963587601575504,0.593766870773997,0.5356716712624507,0.6363456526237932,0.5241436653556063,0.5080515853913359,0.5414090562517102,0.5595717152825368,0.5936697877485212,0.5770387637635312,0.5316821294996322,0.6265422759536798,0.5991833753682326,0.46457847900767557,0.5038509553603069,0.583484593960395,0.5723875674911176,0.5719466690952071,0.5577274726156533,0.5321387224498838,0.5070116432946153,0.5561552270385391,0.5663004938804211,0.544488355714884,0.5953624558972561,0.6354950496306451,0.5498729689746981,0.528929053555316,0.5296878050411019,0.6421264801394693,0.5563417620484024,0.5527179661799513,0.6027524844340014,0.5186832718120754,0.49515652102315555,0.6419068261322673,0.5752201206586177,0.573699213712593,0.5480283077863655,0.5474614483849912,0.5663029213048261,0.5475035516427705,0.5994029456711449,0.5530863208580181,0.5718101334477961,0.5474559099511482,0.6002931826455227,0.607968838120563,0.5300196367473775,0.5599993604992257,0.5670026473155741,0.5479085827504933,0.6564233262985458,0.5628620890632058,0.5735721506006466,0.5665190318304256,0.5537272027530229,0.5853328265317599,0.5430023534577141,0.5373999276850739,0.5576741111308933,0.5151470864336356,0.5843218182178871,0.5162326194668779,0.5457888413643833,0.5610997928960559,0.561609621774633,0.5711427591450633,0.5275931191390779,0.545478298449152,0.5802136116735342,0.5940626538327902,0.5374366878190197,0.5866281922688653
global NDCG,0.4663730503072954,0.47800825860813395,0.4605532340244694,0.4862862475844567,0.47111754822927726,0.47698729446031507,0.471100848018997,0.4709013654264147,0.4805187346322155,0.4780573592844758,0.4936417197473491,0.45744876321471456,0.4582765024630427,0.46208619340049756,0.4615258861134735,0.4707341015309763,0.4568054922403644,0.4610535072560023,0.4623653596714688,0.4810172836155113,0.4600874221185976,0.4764752111415927,0.476653957295177,0.47030039045803307,0.4782681467511163,0.4641919091813507,0.4765642854182105,0.46578133438703334,0.4569674230093741,0.4745597951705097,0.4610957240083328,0.45600932359585983,0.46675791311669707,0.4781248706986148,0.472900077012353,0.4696711133087054,0.4630966243722029,0.4721261877088469,0.4779660740659658,0.44528234034938724,0.45684130327084566,0.47115220266296265,0.4690322310048676,0.46736898096794344,0.46762198682088985,0.46522446704523274,0.4624669703034303,0.4618932636357127,0.4670675166514697,0.46290961965519956,0.4783479725013778,0.49033344427912945,0.45852485697806594,0.46097342326259705,0.4650744787279372,0.488864650417353,0.4597093584761114,0.464478422395438,0.4815288449068436,0.4564107152777049,0.46328168061269925,0.48784947324435524,0.4699307232497003,0.46896408488943064,0.46385812348517097,0.4628034116201175,0.4666187211003448,0.4646905537595785,0.47752320262514625,0.4708050152013431,0.47363349411566724,0.4688620851340754,0.47275015103330764,0.4764024046011292,0.47093869758552254,0.46307609024911733,0.47321302282162225,0.46277077674243255,0.49742109920880084,0.4685212414603692,0.47107689451231755,0.4773509855251486,0.4684006867157883,0.4689269703832553,0.4659999053813375,0.4665179861990941,0.4676596827940048,0.4602899584477976,0.4721378526162278,0.4699131444151619,0.4636955145263665,0.4663829657807821,0.47049519285466157,0.46721097059200906,0.46433576241935937,0.464343842631309,0.47621023929865813,0.47697570790187516,0.4551783220253231,0.47243835358805464
prediction time (sec),0.07470846176147461,0.0772101879119873,0.07265114784240723,0.07628512382507324,0.07385373115539551,0.0695345401763916,0.07593321800231934,0.07079458236694336,0.07620382308959961,0.07851696014404297,0.07283329963684082,0.07338333129882812,0.07300209999084473,0.0744926929473877,0.07090640068054199,0.07421636581420898,0.07322168350219727,0.07855033874511719,0.07414054870605469,0.08185005187988281,0.07173895835876465,0.07296466827392578,0.0789482593536377,0.0733184814453125,0.07488727569580078,0.07210803031921387,0.08011746406555176,0.07457947731018066,0.07312512397766113,0.07583856582641602,0.07145524024963379,0.07249951362609863,0.07336664199829102,0.07143926620483398,0.07342791557312012,0.07171511650085449,0.07565116882324219,0.07450604438781738,0.07459568977355957,0.07474851608276367,0.07698202133178711,0.07463455200195312,0.07579374313354492,0.07459735870361328,0.08121109008789062,0.07132935523986816,0.07599449157714844,0.07302236557006836,0.07524466514587402,0.07517862319946289,0.07857823371887207,0.07415580749511719,0.07246160507202148,0.07739877700805664,0.07182765007019043,0.0736086368560791,0.07395267486572266,0.07378482818603516,0.07049942016601562,0.0769052505493164,0.07293558120727539,0.07633543014526367,0.07172274589538574,0.07306289672851562,0.0735311508178711,0.07450485229492188,0.07323217391967773,0.07659316062927246,0.08043074607849121,0.0728600025177002,0.07744359970092773,0.07590651512145996,0.07219243049621582,0.07422494888305664,0.0746769905090332,0.07285857200622559,0.07678771018981934,0.07517051696777344,0.07561659812927246,0.07183980941772461,0.07495379447937012,0.07652544975280762,0.0703890323638916,0.07254791259765625,0.08110880851745605,0.07603216171264648,0.07471799850463867,0.07363009452819824,0.07354307174682617,0.0737447738647461,0.07337212562561035,0.07496976852416992,0.07762432098388672,0.0714120864868164,0.07556462287902832,0.07292556762695312,0.07496333122253418,0.07643699645996094,0.0731210708618164,0.07359433174133301
training time (sec),40.60220980644226,40.92717456817627,40.22744655609131,40.79704022407532,40.58829998970032,40.22075366973877,40.516441822052,40.38189077377319,41.21061730384827,41.529200315475464,41.138803243637085,40.80872821807861,41.09196901321411,40.548282861709595,40.784605264663696,41.0185182094574,41.33276009559631,40.23777365684509,40.492944955825806,40.75934147834778,41.22833967208862,41.08897423744202,41.39243793487549,41.55483651161194,40.53344774246216,40.33876967430115,40.69532918930054,41.3961877822876,40.9815788269043,40.88207173347473,41.78750920295715,41.755592584609985,40.42702770233154,40.966872215270996,40.905312299728394,40.76861238479614,40.86591863632202,40.60250520706177,41.13233423233032,40.62471652030945,40.35985708236694,41.54099202156067,40.45575666427612,41.15197014808655,41.00598335266113,39.75164842605591,40.554834604263306,40.64512491226196,40.53816843032837,41.23285889625549,42.18752408027649,40.74756479263306,39.79230880737305,41.04964804649353,40.61009907722473,40.07768988609314,40.72477984428406,41.15875864028931,41.52488732337952,39.852065324783325,40.55717349052429,40.05122780799866,40.367358446121216,41.061306953430176,40.83984398841858,40.5451500415802,40.03878092765808,40.77367544174194,40.78899002075195,40.90930986404419,40.92308855056763,41.357794761657715,40.96097755432129,40.34867238998413,39.759819984436035,40.62926650047302,41.48035979270935,40.68470883369446,41.89608597755432,40.56278347969055,41.03237462043762,40.28181481361389,40.00605344772339,40.99778461456299,41.05499768257141,42.07297945022583,40.47269821166992,40.35105109214783,40.2053382396698,40.79407286643982,40.8824942111969,40.43903660774231,41.191529273986816,40.185972452163696,41.037068128585815,40.88953876495361,40.87188959121704,39.39169692993164,40.70721125602722,40.36229753494263
