,1_SimpleBinaryClassifier,2_SimpleBinaryClassifier,3_SimpleBinaryClassifier,4_SimpleBinaryClassifier,5_SimpleBinaryClassifier,6_SimpleBinaryClassifier,7_SimpleBinaryClassifier,8_SimpleBinaryClassifier,9_SimpleBinaryClassifier,10_SimpleBinaryClassifier,11_SimpleBinaryClassifier,12_SimpleBinaryClassifier,13_SimpleBinaryClassifier,14_SimpleBinaryClassifier,15_SimpleBinaryClassifier,16_SimpleBinaryClassifier,17_SimpleBinaryClassifier,18_SimpleBinaryClassifier,19_SimpleBinaryClassifier,20_SimpleBinaryClassifier,21_SimpleBinaryClassifier,22_SimpleBinaryClassifier,23_SimpleBinaryClassifier,24_SimpleBinaryClassifier,25_SimpleBinaryClassifier,26_SimpleBinaryClassifier,27_SimpleBinaryClassifier,28_SimpleBinaryClassifier,29_SimpleBinaryClassifier,30_SimpleBinaryClassifier,31_SimpleBinaryClassifier,32_SimpleBinaryClassifier,33_SimpleBinaryClassifier,34_SimpleBinaryClassifier,35_SimpleBinaryClassifier,36_SimpleBinaryClassifier,37_SimpleBinaryClassifier,38_SimpleBinaryClassifier,39_SimpleBinaryClassifier,40_SimpleBinaryClassifier,41_SimpleBinaryClassifier,42_SimpleBinaryClassifier,43_SimpleBinaryClassifier,44_SimpleBinaryClassifier,45_SimpleBinaryClassifier,46_SimpleBinaryClassifier,47_SimpleBinaryClassifier,48_SimpleBinaryClassifier,49_SimpleBinaryClassifier,50_SimpleBinaryClassifier,51_SimpleBinaryClassifier,52_SimpleBinaryClassifier,53_SimpleBinaryClassifier,54_SimpleBinaryClassifier,55_SimpleBinaryClassifier,56_SimpleBinaryClassifier,57_SimpleBinaryClassifier,58_SimpleBinaryClassifier,59_SimpleBinaryClassifier,60_SimpleBinaryClassifier,61_SimpleBinaryClassifier,62_SimpleBinaryClassifier,63_SimpleBinaryClassifier,64_SimpleBinaryClassifier,65_SimpleBinaryClassifier,66_SimpleBinaryClassifier,67_SimpleBinaryClassifier,68_SimpleBinaryClassifier,69_SimpleBinaryClassifier,70_SimpleBinaryClassifier,71_SimpleBinaryClassifier,72_SimpleBinaryClassifier,73_SimpleBinaryClassifier,74_SimpleBinaryClassifier,75_SimpleBinaryClassifier,76_SimpleBinaryClassifier,77_SimpleBinaryClassifier,78_SimpleBinaryClassifier,79_SimpleBinaryClassifier,80_SimpleBinaryClassifier,81_SimpleBinaryClassifier,82_SimpleBinaryClassifier,83_SimpleBinaryClassifier,84_SimpleBinaryClassifier,85_SimpleBinaryClassifier,86_SimpleBinaryClassifier,87_SimpleBinaryClassifier,88_SimpleBinaryClassifier,89_SimpleBinaryClassifier,90_SimpleBinaryClassifier,91_SimpleBinaryClassifier,92_SimpleBinaryClassifier,93_SimpleBinaryClassifier,94_SimpleBinaryClassifier,95_SimpleBinaryClassifier,96_SimpleBinaryClassifier,97_SimpleBinaryClassifier,98_SimpleBinaryClassifier,99_SimpleBinaryClassifier,100_SimpleBinaryClassifier
ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AUC,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fscore,0.001312597373107167,0.0017191820033748936,0.001031302685640168,0.0012661773641341608,0.0013708463847358515,0.0012143242892492172,0.0014003931507319618,0.0012412832329429177,0.0012559756523882475,0.001443635109436188,0.001852320681038558,0.0012878398898115617,0.001652944570169576,0.0014644213257771397,0.0015444781592039581,0.0015529643205222262,0.0017094227403029586,0.0014622448405436895,0.001294904303768782,0.0014182192185773362,0.0016725295103113063,0.001275415751734456,0.00144357095300882,0.001470045501135046,0.0014962483870762555,0.0014064927740465047,0.0014468713863682002,0.0014322047844769082,0.0014215989532099336,0.0012525797386025736,0.0014503124523580861,0.001509911693333599,0.0012830590510723178,0.0016093121817278074,0.00114614623023633,0.001480238619308458,0.0016030159581818504,0.0015337760093480676,0.001230311555273665,0.0016662453676691202,0.0012038518265947173,0.0015684475217363142,0.0012510954770973122,0.001363099084803115,0.0016312342218125313,0.001379204508715284,0.0013090580434411056,0.0018331822324132397,0.0015776919044112228,0.0013857164568166099,0.0014825144105412387,0.0012872796550949446,0.0014439189700588084,0.0015022410490122293,0.0016706691724832786,0.0014273837991661974,0.0013040599291916347,0.0013017510787711514,0.0014944426164542294,0.0012928637310968413,0.0013367059197644004,0.0012303845191212874,0.0012375203290623514,0.001456370712552682,0.0015357549044806354,0.0014561939819287804,0.001319150495901544,0.0016299629508898655,0.0015790106830048153,0.0012805423871070554,0.0013841450858824477,0.0013413372659146566,0.0013672026433847913,0.0017056733467411898,0.0013520752759018334,0.0013761698467775298,0.0015862246574834026,0.0016182635487312076,0.0012617927932531115,0.0012899008511200606,0.0012179269282395458,0.001635847064402928,0.0014874035086938071,0.0015238238165511979,0.0015177863634335074,0.0013204488327524882,0.001491046664700973,0.0014016270283314792,0.0013153084495856793,0.001429258925709433,0.0012960190607313898,0.0014907990554726457,0.0012698030950105028,0.0011619280726890377,0.0015795179156450141,0.001237565376260148,0.0014722517767488319,0.0012522910287803273,0.00164143029958636,0.0013615713989582252
HR@10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00516795865633075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR@5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002583979328165375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lin's AUC,0.44422200706580944,0.4664520945471885,0.4448356935085984,0.47158011496629587,0.45795845074741354,0.4519183724693697,0.453523841327782,0.4689329503769461,0.4139898523072748,0.47222563051309974,0.4462493468235829,0.42137689364821507,0.4366669211231981,0.45544094881030994,0.46664741065208326,0.4669774384680331,0.4379648874357437,0.45566885906465804,0.46434968556754824,0.4690648429272993,0.44691334429377005,0.4449457759959687,0.4262310293343373,0.47106754794764644,0.46439177085349015,0.43633270584853795,0.45151358603947944,0.4216625827075437,0.4595716220313535,0.43480279847780506,0.4300957062578567,0.4685309982815881,0.44201731907013053,0.4473588875730527,0.47874044120026293,0.47379540326832825,0.46338819870079084,0.45606672508340446,0.4465462352558884,0.44246229771465506,0.4540738009268566,0.4675865681501507,0.47092324151972104,0.4631027431961322,0.47893277394741385,0.43864838895113767,0.4640181933150216,0.4509164480626479,0.5010858759715668,0.46042187288561187,0.44533933811887433,0.4767115944232028,0.4544607922875024,0.46353058201781977,0.41373047038896066,0.45566526731003065,0.4542346066602726,0.45598320841516354,0.4455656890409657,0.46705328524402834,0.43616393062516656,0.441885837755206,0.44145139030482267,0.415854047694988,0.4950877313560672,0.4537848821537781,0.4406304284653545,0.44976153460012486,0.4437994676923638,0.47011852998984716,0.4513620128122917,0.4310242926867652,0.45141740021984794,0.458194971411029,0.43335944363012435,0.4248744119071724,0.4734412727770539,0.4730272216723637,0.47094592956351944,0.4456648397371367,0.43582061888688345,0.4454342154957901,0.44932450010846925,0.4481193121518938,0.425065149933785,0.4439757769868971,0.43760575693469905,0.4476770690215536,0.439663295815559,0.45721245694759344,0.43595562459298254,0.46256664094027244,0.432720815034479,0.470071314270923,0.4555878157782618,0.4485210058677171,0.4369711596614607,0.4842324494371614,0.45207699130850376,0.44635674536294834
NDCGk,0.23097107734558092,0.22329439422180972,0.23772181628030523,0.24026754115860635,0.24996898234148415,0.23378220700949867,0.23655386231180275,0.2372292503680283,0.22020708774737038,0.23524928133639156,0.2289490864487988,0.22162795730776239,0.2177240999816248,0.2266647538497661,0.2233418790015492,0.22755992969700506,0.22863623689969792,0.23578659572476782,0.2257785551056406,0.22445738290664263,0.22611277926835352,0.22959284121827672,0.23486997199996518,0.2430122923629786,0.21984519263574037,0.2305972311295642,0.2353172384079639,0.23328154655192018,0.23425941969745184,0.22300876726308047,0.23446670825836302,0.2398764199596599,0.24769165595630427,0.24373850691828056,0.23581348543644837,0.23883436696988972,0.228518065590755,0.23249879049550135,0.21614233888194992,0.23054683350285343,0.231406567006586,0.2166117078197694,0.2376455242552693,0.23933797821571723,0.23519336685226166,0.21933973652545508,0.2373807693920819,0.2352693078204087,0.24171675948178004,0.23116573544091476,0.2221604421696475,0.22255288112732133,0.24698357695502138,0.2299111248527119,0.22538207268017604,0.23322288450381723,0.22926649400924964,0.23160202736481372,0.22688774738369624,0.23035300412493825,0.22394990724063396,0.21761035640061965,0.22866467057443438,0.23590173307785955,0.23385274049938198,0.24707133208399715,0.23186878475487754,0.25044815405641413,0.2397383917543785,0.2410468993484287,0.23119658053150793,0.23559395514115572,0.22962804378221816,0.24448356919822045,0.23644993281972396,0.2318072591263751,0.25549064463007465,0.22962521986777668,0.21994682790624862,0.21664107721278178,0.23894296279583557,0.2174485716196305,0.23859617806590835,0.23813633439700144,0.22901933458407792,0.21806512041309406,0.23128807989704522,0.2288104019299852,0.2157998490063942,0.21904431292061596,0.2250646261407235,0.22157255313599591,0.22712055954863813,0.23377417989642688,0.23030445168782457,0.22459679652432896,0.2381947943569186,0.24983148742829564,0.2276194645223727,0.2265801114150952
global AUC,0.8954566134578027,0.8965676274719376,0.8919462159759849,0.8967337665365149,0.8938886995776867,0.8975262299250257,0.8888047870036925,0.8928362506649957,0.8874938173918931,0.8970911071251128,0.8978327759604182,0.8926580023798245,0.8951926031523538,0.89255561808266,0.8986172525646088,0.8981126342780729,0.8926545356271545,0.8947554505234128,0.9002325012206177,0.8974050819162267,0.898220361699071,0.8938172370402533,0.8937036363682528,0.896344974061017,0.8971160091513342,0.894886280328401,0.8947246543201166,0.8950138805428738,0.8950053148038821,0.8948951181063344,0.8884455909700035,0.8984410968866832,0.8967553552679307,0.8945871630487301,0.8931844744613607,0.8954942245853618,0.8932363153181893,0.8969179369001907,0.8923254940638732,0.8885850841689881,0.8968682235273954,0.8946373088936895,0.8999125066959943,0.8955277272273621,0.9002901734763036,0.8984357816642796,0.8981873054799497,0.8983516867544407,0.895543372954201,0.8907278860869436,0.8982150395013098,0.8991920987503033,0.8904359883022697,0.8949061391711607,0.8918740628781603,0.8897602435705548,0.8868574834299684,0.8965748051147896,0.8976199996556963,0.8935782054899579,0.8906240648661372,0.8902498718138554,0.8976512841340163,0.8904802818222993,0.8975330867014336,0.8943786207860017,0.8926904796442747,0.8975242000959976,0.8956964332234938,0.8939786607631706,0.8930594202523701,0.8887816497429147,0.895329703803721,0.8956564783758199,0.8941050891175857,0.8951802497942479,0.8941482456543453,0.9007365335771249,0.8992101230740446,0.8959455023132099,0.8930151685844854,0.8964679984409797,0.8871921959588853,0.8991513766133061,0.8983546582567292,0.9003126759795501,0.8900711840811628,0.892494402345372,0.8913788334227992,0.8972310118701892,0.8917746710093567,0.8969466056194539,0.8899999935826711,0.8914212645223804,0.8936130125238079,0.8952190676586518,0.8903393726257451,0.894454554527583,0.8970556234815867,0.8907709937962007
global NDCG,0.47852205582912066,0.48220241484163245,0.47473103990659044,0.48376018799637355,0.47680672993974166,0.48082655698910826,0.474360134860547,0.47699566048974784,0.4776032682099231,0.4810055322069063,0.48250888325875535,0.477688525619909,0.48059272144177567,0.47544190754818294,0.48192820947489867,0.4831715837256858,0.4840390382987535,0.4812316193212218,0.4881213457071604,0.4787697352473254,0.48307729954721945,0.47983237260186085,0.47801846308279117,0.47922232719121977,0.4793659038513852,0.4778257745427659,0.4812155385102398,0.4829931701845775,0.48237880188536786,0.48622052910466407,0.47369246625541384,0.47610134039927376,0.48005199167575174,0.4779337177980663,0.47682787381592634,0.477553457188617,0.4801022511261961,0.4830161934586438,0.47817429924893723,0.47709890449166364,0.4827690196492603,0.48185558369721915,0.48428446081226734,0.4816353624621763,0.48511299381550793,0.4853333537136448,0.4802438489213489,0.4866178049063994,0.48001059163476606,0.47752915487682784,0.4836491175676559,0.4822887382097792,0.4832360976174683,0.47733056715832667,0.47525458269128557,0.47454969759470333,0.4764778713166283,0.4840513508886047,0.4835590892716377,0.4764115989118393,0.47718709431734296,0.4796368399576793,0.47796686499083646,0.4736076162859126,0.5021015162102703,0.4769761058642827,0.4747541607512954,0.47962114714450804,0.47865372003879253,0.4777152365768898,0.4765813953896341,0.4720753270751868,0.48316416443808297,0.4797671078434646,0.47835642839762177,0.483941511263655,0.47570710865323046,0.4841894492670064,0.4831815869795262,0.48033221990432473,0.4769105144909096,0.48187272239579093,0.48198243945549546,0.47949006720811593,0.481572175762408,0.48438669822038277,0.47657895902717007,0.4759398839145018,0.4757981075910179,0.4838389630757449,0.47588964471037565,0.48244415995626344,0.4747041837951711,0.4791365900411606,0.4803250935122189,0.4825863719513424,0.4774030750560973,0.47832245584457267,0.48090029604269136,0.475739903300053
prediction time (sec),2.9232864379882812,2.8772013187408447,2.8121871948242188,3.00783371925354,2.837221145629883,2.810258388519287,2.9475550651550293,2.862287998199463,2.9913811683654785,2.956218719482422,2.8555479049682617,2.7531545162200928,2.7623438835144043,2.939213752746582,2.9525179862976074,2.707820177078247,2.9438388347625732,2.80102801322937,2.938843011856079,2.827056407928467,2.9271364212036133,2.8716487884521484,2.7960987091064453,2.748641014099121,2.952059030532837,2.891206741333008,2.8211519718170166,2.9156041145324707,2.896897315979004,2.873981237411499,2.909830331802368,2.8069515228271484,2.7041423320770264,2.695413827896118,2.940805435180664,3.0282692909240723,2.9270434379577637,3.03155517578125,3.069580316543579,2.856271743774414,2.7440481185913086,2.97180438041687,3.1903650760650635,2.8476619720458984,2.970797061920166,2.910917282104492,2.697495937347412,2.9603404998779297,2.941988706588745,2.9716403484344482,2.616243600845337,2.8855371475219727,2.9807944297790527,2.950096368789673,2.9030144214630127,2.739678382873535,2.588235855102539,2.901268720626831,2.8790788650512695,2.956064224243164,2.745624303817749,2.629274368286133,2.8576927185058594,2.9448628425598145,2.9452240467071533,2.9471287727355957,2.7200369834899902,2.9514319896698,2.957446336746216,2.792062520980835,2.9014956951141357,2.911024332046509,3.0472443103790283,2.921186685562134,2.823281764984131,2.7008702754974365,2.6868364810943604,2.923386812210083,2.7515392303466797,2.9119248390197754,2.706451654434204,2.688544273376465,3.1408584117889404,3.058187484741211,3.002605676651001,2.8378117084503174,2.8344979286193848,3.0596542358398438,2.838639736175537,2.9891674518585205,2.9156265258789062,2.6237308979034424,2.8467721939086914,3.0490989685058594,2.9249002933502197,2.736445903778076,2.9031763076782227,2.8157520294189453,3.0215349197387695,2.5751583576202393
training time (sec),1062.5492475032806,1069.104190826416,1044.3084564208984,1077.3750393390656,1060.224049091339,1060.985062122345,1060.0004460811615,1062.7321393489838,1057.3825953006744,1056.8967356681824,1060.5608472824097,1045.9260804653168,1055.3249022960663,1055.0326986312866,1043.87637925148,1046.966718673706,1057.932212114334,1048.7053894996643,1059.0406634807587,1053.697582244873,1062.9963052272797,1048.6337304115295,1059.3855464458466,1043.0931622982025,1048.4609279632568,1052.2554903030396,1050.509567975998,1056.2427904605865,1052.7912011146545,1053.142451763153,1050.5604875087738,1062.2646505832672,1045.5957951545715,1046.5450897216797,1049.104032754898,1011.6345579624176,1013.3456854820251,1006.5016603469849,993.6151609420776,1003.57151222229,959.0732181072235,1001.5900626182556,1006.5807168483734,956.3743567466736,1012.509699344635,974.5860171318054,975.9031417369843,1013.2314291000366,1037.4901883602142,1025.082691669464,962.6446702480316,964.2206070423126,1017.0112342834473,1019.1808495521545,1002.1451508998871,970.2855980396271,970.6444697380066,1011.4473187923431,1008.5684947967529,1003.380784034729,970.0017740726471,970.7151520252228,1004.4731070995331,1001.5502119064331,1012.9902100563049,964.9137783050537,963.8177592754364,1012.0335683822632,1009.8623623847961,1013.2731609344482,973.3375127315521,972.0777459144592,1013.714663028717,1008.5570785999298,995.4380669593811,960.6860737800598,958.1068406105042,1002.76895570755,1001.3172905445099,1014.7295851707458,966.3428974151611,963.0414869785309,1011.1481320858002,1004.9926705360413,1008.0779564380646,965.428569316864,963.6988270282745,1002.9042618274689,1011.740626335144,1016.3997452259064,968.562215089798,954.6100687980652,1010.7499568462372,1009.664350271225,1014.8960244655609,953.5368571281433,948.860093832016,1003.6227693557739,986.0985181331635,973.273030757904
